question,answers,correct_answers
"Поширення на початку XX ст. в суспільному лексиконі Російської імперії понять «хутір», «відруб», «переселенці» пов’язане","[{'marker': 'А', 'text': 'зі скасуванням виплат викупних платежів.'}, {'marker': 'Б', 'text': 'з утворенням монополістичних об’єднань.'}, {'marker': 'В', 'text': 'із запровадженням реформ П. Столипіна.'}, {'marker': 'Г', 'text': 'з поглибленням економічної кризи.'}]",['В']
"В уривку з історичного джерела «*Створивши банки, акціонерні товариства, синдикати, концерни, іноземні підприємці заволоділи основними галузями промисловості, насамперед нафтовою та озокеритною… На початку ХХ ст. налічували близько 100 фабрично-заводських, переважно дрібних підприємств, де працювало 62–63 тис. з 300 тис. робітників, зайнятих різними видами промислової діяльності. Решта – близько 240 тис. – працювали в кустарних промислах*…» відображено економічний розвиток на початку ХХ ст.","[{'marker': 'А', 'text': 'Правобережної України.'}, {'marker': 'Б', 'text': 'Східної Галичини.'}, {'marker': 'В', 'text': 'Закарпаття.'}, {'marker': 'Г', 'text': 'Буковини.'}]",['Б']
"Події Першої світової війни, описані в уривку джерела «Дії цього фронту врятували Італію від розгрому та виходу її з війни, окрім того, полегшили становище англійців і французів на фронті, спонукали Румунію стати на бік* *[**Антанти**]* *та зіпсували всі плани й наміри австро-угорців і німців на цей* *рік...»,* сприяли","[{'marker': 'А', 'text': 'повторній окупації російськими військами частини Галичини та Буковини.'}, {'marker': 'Б', 'text': 'реорганізації Головної української ради в Загальну українську раду.'}, {'marker': 'В', 'text': 'ліквідації Галицько-Буковинського генерал-губернаторства.'}, {'marker': 'Г', 'text': 'створенню легіону Українських січових стрільців.'}]",['А']
"Наступ військ радянської Росії на Київ і прагнення посилити позиції української делегації на мирних переговорах з державами Четверного союзу - обставини, що пришвидшили прийняття Українською Центральною Радою","[{'marker': 'А', 'text': 'Першого Універсалу.'}, {'marker': 'Б', 'text': ' Другого Універсалу.'}, {'marker': 'В', 'text': 'Третього Універсалу.'}, {'marker': 'Г', 'text': 'Четвертого Універсалу.'}]",['Г']
Упровадження нової економічної політики в УСРР стало однією з передумов,"[{'marker': 'А', 'text': 'згортання «Великого терору».'}, {'marker': 'Б', 'text': 'завершення форсованої індустріалізації.'}, {'marker': 'В', 'text': 'досягнення республікою економічної незалежності.'}, {'marker': 'Г', 'text': 'згасання антирадянського селянського повстанського руху.'}]",['Г']
Характерним для культурного життя радянської України в 1921-1928 рр. було,"[{'marker': 'А', 'text': 'згортання антицерковної політики та відмова від атеїстичної пропаганди.'}, {'marker': 'Б', 'text': 'повернення в культурний простір імен репресованих українських літераторів.'}, {'marker': 'В', 'text': ""створення творчих об'єднань літераторів, художників, театральних діячів.""}, {'marker': 'Г', 'text': 'посилення боротьби з «космополітизмом» та «низькопоклонством перед Заходом».'}]",['В']
"Терміни «чорна дошка», «розкуркулення» пов'язані з","[{'marker': 'А', 'text': 'коренізацією.'}, {'marker': 'Б', 'text': 'колективізацією.'}, {'marker': 'В', 'text': 'індустріалізацією.'}, {'marker': 'Г', 'text': 'культурною революцією.'}]",['Б']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього.**


«..Від нинішнього дня весь український національний табір виступає як одна цілісність, стає в одній оборонній і бойовій лаві, в одній суцільній фаланзі під назвою Українського Національно-Демократичного Об'єднання...*


*Для здійснення права нації [ права самовизначення українського народу] УНДО змагатиметься всіма доцільними засобами, визнаючи лише ті акти й рішення, які створюють представники українського народу легально, відкидаючи всі акти насильства... УНДО обстоюватиме й розбудовуватиме єдиний український національний фронт, прагнучи до культурної, економічної й політичної спільності української нації...»


У якому році оприлюднено цитований документ?","[{'marker': 'А', 'text': '1921 р.'}, {'marker': 'Б', 'text': '1925 р.'}, {'marker': 'В', 'text': '1929 р.'}, {'marker': 'Г', 'text': '1938 р.'}]",['Б']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього.**


«..Від нинішнього дня весь український національний табір виступає як одна цілісність, стає в одній оборонній і бойовій лаві, в одній суцільній фаланзі під назвою Українського Національно-Демократичного Об'єднання...*


*Для здійснення права нації [ права самовизначення українського народу] УНДО змагатиметься всіма доцільними засобами, визнаючи лише ті акти й рішення, які створюють представники українського народу легально, відкидаючи всі акти насильства... УНДО обстоюватиме й розбудовуватиме єдиний український національний фронт, прагнучи до культурної, економічної й політичної спільності української нації...»


Держава, у якій постала згадана в документі організація, - це","[{'marker': 'А', 'text': 'Польща.'}, {'marker': 'Б', 'text': 'Румунія.'}, {'marker': 'В', 'text': 'Угорщина.'}, {'marker': 'Г', 'text': 'Чехо-Словаччина.'}]",['А']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього.**


«..Від нинішнього дня весь український національний табір виступає як одна цілісність, стає в одній оборонній і бойовій лаві, в одній суцільній фаланзі під назвою Українського Національно-Демократичного Об'єднання...*


*Для здійснення права нації [ права самовизначення українського народу] УНДО змагатиметься всіма доцільними засобами, визнаючи лише ті акти й рішення, які створюють представники українського народу легально, відкидаючи всі акти насильства... УНДО обстоюватиме й розбудовуватиме єдиний український національний фронт, прагнучи до культурної, економічної й політичної спільності української нації...»


Згідно із цитованим документом «*для здійснення права нації УНДО...» мала","[{'marker': 'А', 'text': 'долучитися до політичного життя країни.'}, {'marker': 'Б', 'text': 'обмежуватися лише культурницькою діяльністю.'}, {'marker': 'В', 'text': 'вести підпільну збройну боротьбу проти чинної влади.'}, {'marker': 'Г', 'text': 'пропагувати в суспільстві форми радянської державності.'}]",['А']
"В уривку з історичного документа «У межах українсько-білоруських земель, які включено до складу генерального округу «Житомир», станом на кінець 1941 - початок 1942 рр. проживало З млн 27 тис. осіб. На початку 1945 р. чисельність мешканців округу, попри збільшення його площі від 59 056 км2 до більше ніж 64 800 км2, зменшилася до 2 млн 916 тис. осіб» схарактеризовано ситуацію в","[{'marker': 'А', 'text': 'рейхскомісаріаті «Україна».'}, {'marker': 'Б', 'text': 'прифронтових областях.'}, {'marker': 'В', 'text': 'дистрикті «Галичина».'}, {'marker': 'Г', 'text': 'окрузі «Трансністрія».'}]",['А']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього.**


«Першим від союзників Акт підписав генерал Макартур. Далі під цим текстом поставили підписи представники всіх союзних країн, які воювали проти Країни Вранішнього Сонця. Від Радянського Союзу поставив підпис під документом 41-річний генерал-лейтенант Кузьма Дерев'янко...»


У якому році відбулася подія, висвітлена в уривку документа?","[{'marker': 'А', 'text': '1939 р.'}, {'marker': 'Б', 'text': '1940 р.'}, {'marker': 'В', 'text': '1945 р.'}, {'marker': 'Г', 'text': '1953 р.'}]",['В']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього.**


«Першим від союзників Акт підписав генерал Макартур. Далі під цим текстом поставили підписи представники всіх союзних країн, які воювали проти Країни Вранішнього Сонця. Від Радянського Союзу поставив підпис під документом 41-річний генерал-лейтенант Кузьма Дерев'янко...»


В уривку йдеться про капітуляцію","[{'marker': 'А', 'text': 'Італії.'}, {'marker': 'Б', 'text': 'Японії.'}, {'marker': 'В', 'text': ' Угорщини.'}, {'marker': 'Г', 'text': 'Німеччини.'}]",['Б']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього.**


«Першим від союзників Акт підписав генерал Макартур. Далі під цим текстом поставили підписи представники всіх союзних країн, які воювали проти Країни Вранішнього Сонця. Від Радянського Союзу поставив підпис під документом 41-річний генерал-лейтенант Кузьма Дерев'янко...»


Описана в документі подія засвідчила","[{'marker': 'А', 'text': 'відновлення Української Держави.'}, {'marker': 'Б', 'text': ""створення Організації Об'єднаних Націй.""}, {'marker': 'В', 'text': ' завершення Другої світової війни.'}, {'marker': 'Г', 'text': 'початок «холодної війни».'}]",['В']
Що стримувало «радянізацію» Західної України в другій половині 1940-х – на початку 1950-х рр.?,"[{'marker': 'А', 'text': 'повоєнний голод'}, {'marker': 'Б', 'text': 'ліквідація УГКЦ'}, {'marker': 'В', 'text': 'збройна боротьба ОУН, УПА'}, {'marker': 'Г', 'text': ' суцільна неграмотність населення'}]",['В']
"«*У багатьох з нас одразу після ХХ з'їзду було багато наївного, рожевого оптимізму, багато ілюзій, побудованих на піску, і багатьом здавалося, що всі проблеми народного життя вирішуються одним махом, і нам нічого не лишається, як з високо піднятими прапорами урочисто марширувати до комунізму»,* - згадував український дисидент І. Світличний про настрої, що охопили суспільство в результаті","[{'marker': 'А', 'text': 'декларування створення нової спільноти - «радянський народ».'}, {'marker': 'Б', 'text': 'розвінчання й засудження «культу особи» Й. Сталіна.'}, {'marker': 'В', 'text': 'впровадження політики плюралізму та гласності.'}, {'marker': 'Г', 'text': 'проголошення гасла «Кадри вирішують усе!».'}]",['Б']
Спроби економічних реформ у другій половині 1960-х рр. передбачали,"[{'marker': 'А', 'text': 'дозвіл на індивідуальну підприємницьку діяльність.'}, {'marker': 'Б', 'text': 'розширення господарської самостійності підприємств.'}, {'marker': 'В', 'text': 'впровадження семирічного плану розвитку народного господарства.'}, {'marker': 'Г', 'text': "" ліквідацію монополії держави у сфері зовнішніх торговельних зв'язків.""}]",['Б']
Перша хвиля арештів дисидентів в УРСР радянськими органами держбезпеки припадала на,"[{'marker': 'А', 'text': '1946 р.'}, {'marker': 'Б', 'text': '1953 р.'}, {'marker': 'В', 'text': '1965 р.'}, {'marker': 'Г', 'text': '1976 р.'}]",['В']
Оприлюднення 30 серпня 1991 р. Указу Президії Верховної Ради України «Про заборону діяльності Компартії України» зумовлено,"[{'marker': 'А', 'text': 'підтримкою КПУ сил, які виступали за збереження СРСР.'}, {'marker': 'Б', 'text': 'діями КПУ з організації та підтримки сепаратистських рухів.'}, {'marker': 'В', 'text': 'негативною реакцією КПУ на процеси «перебудови» в республіці.'}, {'marker': 'Г', 'text': 'вимогою міжнародної спільноти засудити комуністичну ідеологію.'}]",['А']
Виникнення в суспільному повсякденному лексиконі поняття «Небесна сотня» зумовлено,"[{'marker': 'А', 'text': 'подіями «Революції Гідності».'}, {'marker': 'Б', 'text': 'початком «Революції на граніті».'}, {'marker': 'В', 'text': 'проголошенням незалежності України.'}, {'marker': 'Г', 'text': 'збройною агресією Росії проти України.'}]",['А']
Що спільного в господарській діяльності людей періоду палеоліту та мезоліту?,"[{'marker': 'А', 'text': 'поглиблення першого великого суспільного поділу праці'}, {'marker': 'Б', 'text': 'удосконалення привласнювальних форм господарювання'}, {'marker': 'В', 'text': 'розвиток різних форм землеробства й скотарства'}, {'marker': 'Г', 'text': 'формування кочового господарства'}]",['Б']
"«Ці половці розсипалися по землі; дай, княже, зброю та коні, і ми битимемося з ними...» - з такою вимогою кияни звернулися до князя Ізяслава, скликавши","[{'marker': 'А', 'text': 'віче.'}, {'marker': 'Б', 'text': 'снем.'}, {'marker': 'В', 'text': 'раду.'}, {'marker': 'Г', 'text': 'сейм.'}]",['А']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього.**


«Народ же цей… спустошені землі заселяв своїми людьми й на знесилених русів владу свою поширив. І поволі з часом усю [землю руську] перейняв від татар у своє володіння й став володіти широкими її просторами, і баскаків, що збирали з неї данину для заволзького царя [хана], прогнав...»


У результаті якої битви українські землі звільнено від «*заволзького царя [хана]»?*","[{'marker': 'А', 'text': 'під Оршею'}, {'marker': 'Б', 'text': 'на річці Ворскла'}, {'marker': 'В', 'text': ' під Вількомиром'}, {'marker': 'Г', 'text': ' на річці Сині Води'}]",['Г']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього.**


«Народ же цей… спустошені землі заселяв своїми людьми й на знесилених русів владу свою поширив. І поволі з часом усю [землю руську] перейняв від татар у своє володіння й став володіти широкими її просторами, і баскаків, що збирали з неї данину для заволзького царя [хана], прогнав...»


Який історичний процес проілюстровано в документі?","[{'marker': 'А', 'text': 'боротьбу руських князівств з агресією печенігів і половців'}, {'marker': 'Б', 'text': 'експансію литовських князів на землі Південно-Західної Русі'}, {'marker': 'В', 'text': 'відокремлення Кримського ханства під час розпаду Золотої Орди'}, {'marker': 'Г', 'text': 'захист земель Галицько-Волинської Русі від нападів польських феодалів'}]",['Б']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього.**


«Народ же цей… спустошені землі заселяв своїми людьми й на знесилених русів владу свою поширив. І поволі з часом усю [землю руську] перейняв від татар у своє володіння й став володіти широкими її просторами, і баскаків, що збирали з неї данину для заволзького царя [хана], прогнав...»


Хто з указаних історичних діячів «*усю [землю руську] перейняв від татар у своє володіння»?*","[{'marker': 'А', 'text': 'Ольгерд'}, {'marker': 'Б', 'text': 'Вітовт'}, {'marker': 'В', 'text': 'Свидригайло'}, {'marker': 'Г', 'text': 'К. І. Острозький'}]",['А']
Однією з причин появи полемічної літератури на українських землях наприкінці XVI – у першій половині XVII ст. було,"[{'marker': 'А', 'text': 'утворення окремої Галицької православної митрополії.'}, {'marker': 'Б', 'text': 'підпорядкування Київської митрополії Московському патріарху.'}, {'marker': 'В', 'text': 'проведення митрополитом П. Могилою реформи православної церкви.'}, {'marker': 'Г', 'text': ' укладення церковної унії між православною та католицькою церквами.'}]",['Г']
Умови Куруківської угоди 1625 р. задовольняли інтереси лише заможної частини,"[{'marker': 'А', 'text': 'міщанства.'}, {'marker': 'Б', 'text': 'шляхти.'}, {'marker': 'В', 'text': 'селянства.'}, {'marker': 'Г', 'text': 'реєстрового козацтва.'}]",['Г']
"«*У Московщині панує найогидніше рабство. Там немає й бути не може нічого власного, бо все є власністю царя. Московські бояри титулують себе “рабами царськими”. Увесь народ московський є рабом. У Московії продають людей на базарі, як у нас худобу. Приєднатися до такого народу – це гірше, як скочити живим у вогонь…»,* – такими словами аргументував полковник Іван Богун свою позицію щодо недоцільності укладання","[{'marker': 'А', 'text': '«Березневих статей».'}, {'marker': 'Б', 'text': 'Гадяцьких пунктів.'}, {'marker': 'В', 'text': 'Зборівського договору.'}, {'marker': 'Г', 'text': 'Віленського перемир’я.'}]",['А']
"В уривку з історичного документа «І там Гетьман Виговський зі всією старшиною, а полковники й сотники з усією черню присягали хану кримському на тому, щоби не відступати, там само й хан із султанами й усіма мурзами присягав козакам, щоби не відступити в тій війні, як зійдуться з військом московським…» ідеться про події, пов’язані з битвою під","[{'marker': 'А', 'text': 'Батогом.'}, {'marker': 'Б', 'text': 'Оршею.'}, {'marker': 'В', 'text': 'Хотином.'}, {'marker': 'Г', 'text': 'Конотопом.'}]",['Г']
"Виявом «соціального розбійництва» на теренах Галичини, Буковини та Закарпаття в XVI–XIX ст. була діяльність","[{'marker': 'А', 'text': 'сердюків.'}, {'marker': 'Б', 'text': 'опришків.'}, {'marker': 'В', 'text': 'гайдамаків.'}, {'marker': 'Г', 'text': 'компанійців.'}]",['Б']
У 1816 р. на західноукраїнських землях започатковано діяльність,"[{'marker': 'А', 'text': '«Просвіти».'}, {'marker': 'Б', 'text': '«Руської трійці».'}, {'marker': 'В', 'text': 'Головної руської ради.'}, {'marker': 'Г', 'text': 'освітнього товариства галицьких греко-католицьких священників.'}]",['Г']
"Як зазначив історик Д. Дорошенко, у політичному плані Слобожанщина не відіграла великої ролі в загальноукраїнській історії, проте в культурному плані її внесок неоціненний. Укажіть один з фактів, що підтверджує думку історика.","[{'marker': 'А', 'text': 'заснування першого осередку товариства «Просвіта»'}, {'marker': 'Б', 'text': 'відкриття в підросійській Україні першого університету'}, {'marker': 'В', 'text': 'утворення першого українського стаціонарного професійного театру'}, {'marker': 'Г', 'text': 'розгортання мережі перших недільних шкіл з вивчення української мови'}]",['Б']
Що сприяло швидкому економічному зростанню Наддніпрянської України в другій половині ХІХ ст.?,"[{'marker': 'А', 'text': 'упровадження системи сервітутів'}, {'marker': 'Б', 'text': 'початок трудової міграції селян'}, {'marker': 'В', 'text': 'скасування кріпосного права'}, {'marker': 'Г', 'text': 'ліквідація селянської громади'}]",['В']
Що спільного в економічному становищі Наддніпрянської України та західноукраїнських земель у другій половині ХІХ ст.?,"[{'marker': 'А', 'text': 'швидші порівняно із загальноімперськими темпи розвитку'}, {'marker': 'Б', 'text': 'податкові пільги українським підприємцям'}, {'marker': 'В', 'text': 'високий рівень концентрації виробництва'}, {'marker': 'Г', 'text': 'значний вплив іноземного капіталу'}]",['Г']
"Поширення на початку XX ст. в суспільному лексиконі Російської імперії понять «хутір», «відруб», «переселенці» пов’язане","[{'marker': 'А', 'text': 'зі скасуванням виплат викупних платежів.'}, {'marker': 'Б', 'text': 'з утворенням монополістичних об’єднань.'}, {'marker': 'В', 'text': 'із запровадженням реформ П. Столипіна.'}, {'marker': 'Г', 'text': 'з поглибленням економічної кризи.'}]",['В']
"В уривку з історичного джерела «*Створивши банки, акціонерні товариства, синдикати, концерни, іноземні підприємці заволоділи основними галузями промисловості, насамперед нафтовою та озокеритною… На початку ХХ ст. налічували близько 100 фабрично-заводських, переважно дрібних підприємств, де працювало 62–63 тис. з 300 тис. робітників, зайнятих різними видами промислової діяльності. Решта – близько 240 тис. – працювали в кустарних промислах*…» відображено економічний розвиток на початку ХХ ст.","[{'marker': 'А', 'text': 'Правобережної України.'}, {'marker': 'Б', 'text': 'Східної Галичини.'}, {'marker': 'В', 'text': 'Закарпаття.'}, {'marker': 'Г', 'text': 'Буковини.'}]",['Б']
"Хто підписав документ, уривок з якого наведено:


«Наказ “Сокола-Батька”. Члени всіх філій “Сокола-Батька” як “Січей”, так і “Соколів” мають стати тепер членами “Українських Січових Стрільців”… У стрілецьких справах усі тепер підпадають під наказ “Української Бойової Управи”…»?*","[{'marker': 'А', 'text': 'Іван Франко'}, {'marker': 'Б', 'text': 'Іван Боберський'}, {'marker': 'В', 'text': ' Євген Петрушевич'}, {'marker': 'Г', 'text': 'Андрей Шептицький'}]",['Б']
Скликання І Всеукраїнського з’їзду рад ініційовано більшовиками з метою,"[{'marker': 'А', 'text': 'усунення Української Центральної Ради (УЦР) від влади.'}, {'marker': 'Б', 'text': 'подолання чергового конфлікту УЦР з Тимчасовим урядом Росії.'}, {'marker': 'В', 'text': 'ратифікації умов Берестейського (Брестського) миру з державами Четверного союзу.'}, {'marker': 'Г', 'text': ' протидії поширенню корніловського заколоту на території України.'}]",['А']
"Коли оприлюднено відозву, уривок з якої наведено:


«Дня 19 жовтня Твоєю волею утворилася на українських землях бувшої Австро-Угорської монархії Українська Держава та її найвища влада – Українська Національна Рада. З нинішнім днем Українська Національна Рада обійняла владу в столичнім місті Львові й на цілій території Української Держави…»?*","[{'marker': 'А', 'text': '1917 р.'}, {'marker': 'Б', 'text': '1918 р.'}, {'marker': 'В', 'text': '1919 р.'}, {'marker': 'Г', 'text': '1920 р.'}]",['Б']
Директорія здобула владу за підтримки,"[{'marker': 'А', 'text': 'підрозділів Робітничо-Селянської Червоної Армії.'}, {'marker': 'Б', 'text': 'окупаційних військ держав Антанти.'}, {'marker': 'В', 'text': 'селянських повстанських загонів.'}, {'marker': 'Г', 'text': 'з’єднань Добровольчої армії.'}]",['В']
"Першим митрополитом Української автокефальної православної церкви, утвореної 1921 року, став","[{'marker': 'А', 'text': 'Василь Липківський.'}, {'marker': 'Б', 'text': 'Сергій Єфремов.'}, {'marker': 'В', 'text': 'Петро Болбочан.'}, {'marker': 'Г', 'text': 'Володимир Вернадський.'}]",['А']
"Занесення на «чорну дошку» – це захід, який використовувало партійно-радянське керівництво СРСР / УСРР для","[{'marker': 'А', 'text': 'запровадження терору голодом.'}, {'marker': 'Б', 'text': 'боротьби з масовими епідеміями.'}, {'marker': 'В', 'text': 'реалізації антицерковної політики.'}, {'marker': 'Г', 'text': 'усунення наслідків політики «ножиць цін».'}]",['А']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього**


«*Ще не минуло місяця, як ми вдало перейшли кордон і вступили до лав Січі й уже вчора зіткнулися з наступом ворожого війська та прийняли нерівний бій. Сьогодні Сойм проголосив незалежність Карпатської України. Новообраний Президент відразу звернувся до Німеччини з проханням про взяття країни під охорону Рейху та недопущення захоплення її. Відповіді ще немає…»


Цитований лист написано в","[{'marker': 'А', 'text': 'листопаді 1938 р.'}, {'marker': 'Б', 'text': 'березні 1939 р.'}, {'marker': 'В', 'text': 'серпні 1940 р.'}, {'marker': 'Г', 'text': 'червні 1941 р.'}]",['Б']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього**


«*Ще не минуло місяця, як ми вдало перейшли кордон і вступили до лав Січі й уже вчора зіткнулися з наступом ворожого війська та прийняли нерівний бій. Сьогодні Сойм проголосив незалежність Карпатської України. Новообраний Президент відразу звернувся до Німеччини з проханням про взяття країни під охорону Рейху та недопущення захоплення її. Відповіді ще немає…»


Про «*наступ ворожого війська» якої держави йдеться в листі?","[{'marker': 'А', 'text': 'Румунії'}, {'marker': 'Б', 'text': 'Угорщини'}, {'marker': 'В', 'text': 'Чехо-Словаччини'}, {'marker': 'Г', 'text': 'Радянського Союзу'}]",['Б']
"Засновником «Поліської Січі» – збройно-політичної формації, що діяла на Волині від червня 1941 р. до лютого 1944 р., – був","[{'marker': 'А', 'text': 'Р. Шухевич.'}, {'marker': 'Б', 'text': 'А. Мельник.'}, {'marker': 'В', 'text': 'С. Бандера.'}, {'marker': 'Г', 'text': ' Т. Бульба (Боровець).'}]",['Г']
"Проаналізуйте директиву керівнику Райхсміністерства в справах окупованих східних територій А. Розенбергу: «Цей мільйон нам конче потрібен протягом наступних чотирьох місяців. Від 15 березня ми встановили щоденні норми вивезення робітників до Райху: з генерального комісаріату “Білорусі” – 500 осіб, з райхскомісаріату “Україна” – 1 000 осіб… Від 1 квітня цього року щоденна квота має бути подвоєна…»


У зверненні йдеться про","[{'marker': 'А', 'text': '«колабораціоністів».'}, {'marker': 'Б', 'text': '«чорносвитників».'}, {'marker': 'В', 'text': '«остарбайтерів».'}, {'marker': 'Г', 'text': '«осадників».'}]",['В']
"Який характер мала кампанія боротьби з «безрідними космополітами», розгорнута в СРСР / УРСР у повоєнні роки?","[{'marker': 'А', 'text': 'антицерковний'}, {'marker': 'Б', 'text': 'антисемітський'}, {'marker': 'В', 'text': 'антинатовський'}, {'marker': 'Г', 'text': 'антиукраїнський'}]",['Б']
"Влада Польської Народної Республіки сподівалася «остаточно вирішити українське питання», здійснивши операцію","[{'marker': 'А', 'text': '«Захід».'}, {'marker': 'Б', 'text': '«Ост».'}, {'marker': 'В', 'text': '«Вісла».'}, {'marker': 'Г', 'text': '«Барбаросса».'}]",['В']
"Проаналізуйте уривок з історичного джерела:


«...Партійні організації не завжди враховують ту обставину, що останнім часом повернулося з місць ув’язнення значне число осіб реабілітованих або відбувших термін покарання. Серед них є особи, особливо із числа буржуазних націоналістів, які ідейно не роззброїлися. ЦК КПРС вимагає від партійних та радянських органів уживати рішучих заходів до тих, які намагаються відновити свою минулу антирадянську діяльність…»


Що стало передумовою появи цитованого документа?","[{'marker': 'А', 'text': 'формування багатопартійності'}, {'marker': 'Б', 'text': 'зародження дисидентського руху'}, {'marker': 'В', 'text': 'виникнення руху «шістдесятників»'}, {'marker': 'Г', 'text': 'ліквідація Головного управління таборів (ГУТабу)'}]",['Г']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього.**


«...Відчувалася загальна потреба якогось “роз’яснення”, якогось виступу в цій справі [арештів]. Офіційні кола мовчали. Серед тих, хто багато в чому не погоджувався з офіційною національною політикою, не знайшлося кому виступити одверто, принципово й на всю широчінь питання. Тоді довелося взятися за цю справу мені. У вересні–грудні 1965 року я написав, а наприкінці того ж року надіслав на адресу Шелеста й Щербицького працю “Інтернаціоналізм чи русифікація?”, у якій звинувачував КПРС і КПУ в антидемократизмі та проведенні жорсткої русифікації під виглядом інтернаціоналізму».*


«Працю», згадану в уривку документа, автор написав під впливом арештів","[{'marker': 'А', 'text': 'дисидентів.'}, {'marker': 'Б', 'text': 'колаборантів.'}, {'marker': 'В', 'text': 'остарбайтерів.'}, {'marker': 'Г', 'text': 'номенклатурників.'}]",['А']
"**Проаналізуйте фрагмент історичного документа

та виконайте завдання до нього.**


«...Відчувалася загальна потреба якогось “роз’яснення”, якогось виступу в цій справі [арештів]. Офіційні кола мовчали. Серед тих, хто багато в чому не погоджувався з офіційною національною політикою, не знайшлося кому виступити одверто, принципово й на всю широчінь питання. Тоді довелося взятися за цю справу мені. У вересні–грудні 1965 року я написав, а наприкінці того ж року надіслав на адресу Шелеста й Щербицького працю “Інтернаціоналізм чи русифікація?”, у якій звинувачував КПРС і КПУ в антидемократизмі та проведенні жорсткої русифікації під виглядом інтернаціоналізму».*


Якою була реакція компартійного керівництва УРСР на згадану в документі «*працю*»?","[{'marker': 'А', 'text': 'початок цькування автора'}, {'marker': 'Б', 'text': 'розгортання публічної дискусії'}, {'marker': 'В', 'text': 'припинення зросійщення освіти'}, {'marker': 'Г', 'text': 'виправдання судом заарештованих'}]",['А']
Процеси «перебудови» в СРСР привели в Україні до,"[{'marker': 'А', 'text': 'появи дисидентського руху.'}, {'marker': 'Б', 'text': 'подолання економічних проблем.'}, {'marker': 'В', 'text': 'зростання життєвого рівня населення.'}, {'marker': 'Г', 'text': 'зростання національної самосвідомості українців.'}]",['Г']
"Ігор Юхновський згадував про події серпня 1991 р.: «Референдум був найважливішим з усього. Щоправда, проти нього виступали навіть деякі члени Народної ради. Але я наполягав: референдум є обов’язковим».*


На Референдум було винесено питання","[{'marker': 'А', 'text': 'надання Криму автономії в складі УРСР.'}, {'marker': 'Б', 'text': 'всенародного ухвалення Конституції України.'}, {'marker': 'В', 'text': 'підтвердження Акта проголошення незалежності України.'}, {'marker': 'Г', 'text': 'ухвалення тексту Декларації про державний суверенітет України.'}]",['В']
