area,rot-categorization,rot-moral-foundations,rot-judgment,action-moral-judgment,action-legal,label,action_ukr,action_en
amitheasshole,morality-ethics,care-harm,shouldn't,-1.0,legal,0,бути злим/недобрим,being mean.
amitheasshole,social-norms|advice,care-harm|fairness-cheating,You should,1.0,legal,2,"бути уважним до рівня свого стресу, коли береш на себе додаткові зобов'язання.",being mindful of your stress levels when you take on another obligation.
rocstories,advice,care-harm,you should,0.0,legal,1,"Бути уважним, коли ви користуєтеся обладнанням, яке може бути небезпечним, наприклад, автомобілем чи піччю.","being mindful when you're using equipment that could be dangerous, like a car or an oven"
amitheasshole,social-norms,care-harm|fairness-cheating,You should,0.0,legal,1,бути обережнішим у спортзалі.,being more careful at the gym.
rocstories,advice,care-harm,need to,0.0,legal,1,приймати душ голим.,being naked to shower.
amitheasshole,morality-ethics,care-harm,shouldn't,-1.0,illegal,0,"бути настільки недбалим, що спричинити шкоду чужому майну.",being negligent to the point of causing damage to someone else's property.
rocstories,advice,care-harm,It's OK,0.0,legal,1,нервувати через появу новонародженої дитини,being nervous about a new baby
rocstories,morality-ethics|social-norms,care-harm|authority-subversion,it's ok,0.0,legal,1,хвилювання перед походом до лікаря.,being nervous about going to the doctor.
dearabby,description,care-harm,It's ok,0.0,legal,1,Хвилювання щодо відновлення сексуального життя після втрати чоловіка/дружини,being nervous about having sex again after being widowed
rocstories,description,care-harm,It's understandable,0.0,legal,1,бути нервовим під час складання іспиту на водійські права;,being nervous when you take your driver's license test
dearabby,social-norms,care-harm,should,1.0,legal,2,бути привітним і шанобливим до господаря вечірки.,being nice and respectful to your party host.
amitheasshole,morality-ethics|social-norms,care-harm|authority-subversion,You should,0.0,legal,1,бути ввічливим у повідомленнях до своїх вчителів.,being nice in messages to your teachers.
confessions,morality-ethics,care-harm,is good,1.0,legal,2,бути привітним до інших.,being nice to others.
rocstories,social-norms|advice,care-harm,You should,1.0,legal,2,бути доброзичливим до своїх сусідів.,being nice to your neighbors.
rocstories,morality-ethics,care-harm,it's good,1.0,legal,2,бути ввічливим до батьків;,being nice to your parents.
amitheasshole,social-norms,care-harm,You shouldn't,-1.0,legal,0,шуміти у присутності сусідів по кімнаті.,being noisy around your roommates.
rocstories,advice,care-harm,It's good,0.0,legal,1,бути уважним до свого оточення.,being observant of your surroundings.
confessions,social-norms,care-harm,it's understandable,0.0,legal,1,"ображатися, коли хтось називає тебе огидним і божевільним.",being offended when someone calls you disgusting and crazy.
confessions,morality-ethics,care-harm,It's fine,0.0,legal,1,"ображатися, коли хтось поводиться як мудак з тобою",being offended when someone is an asshole to you
amitheasshole,social-norms,care-harm,it's okay,0.0,legal,1,"Ображатися, коли хтось на тебе кричить.",being offended when someone is shouting at you.
rocstories,description,care-harm|loyalty-betrayal,it's understandable,0.0,,1,"ображатися, коли хтось намагається позбутися тебе.",being offended when someone is trying to get rid of you.
confessions,morality-ethics|social-norms,care-harm|sanctity-degradation,It's fine,0.0,legal,1,"ображатися, коли хтось не засмучений проявами їхнього расизму.",being offended when someone isn't upset by their racism.
rocstories,description,care-harm,It's understandable,0.0,legal,1,"ображатись, коли твій друг принижує тебе;",being offended when your friend belittles you
dearabby,description,care-harm,It's understandable,0.0,legal,1,бути приголомшеним втратою близької людини.,being overwhelmed by the loss of a loved one.
amitheasshole,morality-ethics|social-norms,care-harm,It is important,1.0,legal,2,бути частиною життя вашої дитини.,being part of your child's life.
amitheasshole,social-norms,care-harm,It is rude,-1.0,legal,0,поводитися пасивно-агресивно.,being passive aggressive.
amitheasshole,morality-ethics,care-harm,It's kind,1.0,legal,2,Бути терплячим та прощати своїх близьких.,being patient and forgiving with your loved ones.
rocstories,social-norms,care-harm|loyalty-betrayal,you should,0.0,legal,1,"бути терплячим і чекати, коли хтось має тебе забрати.",being patient and wait when someone is going to pick you up.
amitheasshole,advice,care-harm,should,0.0,legal,1,"бути терплячим, якщо хтось має труднощі з пошуком чогось.",being patient if someone is having trouble finding something.
amitheasshole,social-norms,care-harm,should,0.0,legal,1,бути терпеливим до інших людей.,being patient with other people.
amitheasshole,social-norms|advice,care-harm|fairness-cheating,It's good,2.0,legal,2,бути терплячим.,being patient.
confessions,social-norms|advice,care-harm,You shouldn't,-1.0,legal,0,бути песимістичним щодо життя.,being pessimistic about life.
amitheasshole,morality-ethics,care-harm|fairness-cheating,It is bad,-1.0,legal,0,бути дріб'язковим з друзями;,being petty with friends
confessions,morality-ethics,care-harm,It is wrong,-1.0,legal,0,бути дріб'язковим.,being petty.
rocstories,,care-harm,it's good,1.0,legal,2,бути фізично активним.,being physically active.
dearabby,social-norms,care-harm,should,1.0,legal,2,"бути ввічливим, якщо потрібно відмовитись від подарунка;",being polite if you need to decline a gift
amitheasshole,social-norms,care-harm|authority-subversion,expected,0.0,legal,1,бути ввічливим до своїх клієнтів.,being polite to your customers.
rocstories,advice,care-harm,it's good,0.0,legal,1,бути готовим;,being prepared
rocstories,advice,care-harm,You should,0.0,legal,1,"бути підготовленим перед тим, як вирушаєш у похід з наметами;",being prepared before you go camping
rocstories,social-norms|advice,care-harm,it is wise,2.0,legal,2,бути готовим до надзвичайних ситуацій.,being prepared for emergencies.
rocstories,advice,care-harm,should,0.0,legal,1,"бути підготовленим до тестів, які ти складаєш.",being prepared for tests you take.
rocstories,social-norms|advice,care-harm|authority-subversion,It's good,1.0,legal,2,бути готовим до свого весілля.,being prepared for your wedding.
rocstories,advice,care-harm,should,0.0,legal,1,бути готовим.,being prepared.
rocstories,advice,care-harm,it's good,0.0,legal,1,бути проактивним щодо свого здоров'я.,being proactive when it comes to your health.
dearabby,advice,care-harm,It's good,0.0,legal,1,бути проактивним щодо свого здоров'я.,being proactive with your health.
amitheasshole,description,care-harm,you should,0.0,legal,1,бути професійним з вашими пацієнтами як лікар,being professional with your patients as a doctor
amitheasshole,social-norms|description,care-harm,It's okay,0.0,legal,1,бути турботливим щодо коханої людини.,being protective of a significant other.
amitheasshole,morality-ethics,care-harm,It is okay,0.0,legal,1,захищати свої речі.,being protective of your belongings.
rocstories,morality-ethics|social-norms,care-harm|fairness-cheating,It is okay,0.0,legal,1,пишатися схудненням.,being proud of weight loss.
confessions,advice,care-harm,good,1.0,legal,2,пишатися своїми досягненнями.,being proud of your accomplishments.
rocstories,advice,care-harm,It's important,0.0,legal,1,"бути раціональним щодо свого майбутнього, коли ви розглядаєте можливість одруження з кимось",being rational about your future when you consider marrying someone
rocstories,morality-ethics,care-harm,It's understandable,0.0,legal,1,"відчувати полегшення, коли пацієнт не помирає.",being relieved when you don't lose a patient.
amitheasshole,morality-ethics|advice,care-harm|fairness-cheating,should,1.0,legal,2,бути шанобливим до бюджетів інших людей.,being respectful of other people's budgets.
amitheasshole,morality-ethics,care-harm|authority-subversion,It is important,1.0,legal,2,бути шанобливим до інших людей.,being respectful of other people.
amitheasshole,social-norms,care-harm,it's expected,0.0,legal,1,бути шанобливим до людей з інвалідністю.,being respectful of people with disabilities.
confessions,social-norms,care-harm,should,1.0,legal,2,поважати чийсь особистий час;,being respectful of someone's alone time.
amitheasshole,social-norms,care-harm,People in an office should,0.0,legal,1,поважати своїх колег.,being respectful of their coworkers.
rocstories,morality-ethics,care-harm,You should,0.0,legal,1,поважати своїх колег по команді.,being respectful of your teammates.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,should,1.0,legal,2,бути шанобливим до батьків.,being respectful to your parents.
amitheasshole,morality-ethics,care-harm,should,0.0,legal,1,"несуть відповідальність за те, що вони розбивають",being responsible for what they break
dearabby,advice,care-harm,It's good,1.0,legal,2,бути відповідальним за себе.,being responsible for yourself.
rocstories,social-norms|advice,care-harm,It's good,0.0,legal,1,бути відповідальним.,being responsible.
amitheasshole,social-norms,care-harm,should not,-1.0,legal,0,бути грубим до інших людей.,being rude to other people.
amitheasshole,morality-ethics|social-norms,care-harm,It is wrong,-1.0,legal,0,грубість до інших,being rude to others
amitheasshole,morality-ethics|social-norms,care-harm,it's wrong,-1.0,legal,0,бути грубим до людей у громадському транспорті.,being rude to people on public transportation.
confessions,morality-ethics,care-harm,It's wrong,-1.0,legal,0,бути грубим до людей.,being rude to people.
confessions,social-norms,care-harm,it's okay,0.0,legal,1,сумувати через смерть.,being sad about death.
rocstories,description,care-harm,it's understandable,0.0,legal,1,сумувати через втрату батька чи матері.,being sad at the passing of a parent.
confessions,description,care-harm,It is ok,0.0,legal,1,"сумувати, якщо хтось, хто має рак, помре від нього.",being sad if someone who has cancer is going to die from it.
rocstories,advice,care-harm|loyalty-betrayal,it's understandable,0.0,legal,1,"Сумувати, коли почуття до свого чоловіка/дружини згасають.",being sad when you fall out of love with your spouse.
confessions,advice|description,care-harm,understandable,0.0,legal,1,"бути сумним, коли почуваєшся самотнім.",being sad when you feel alone.
confessions,description,care-harm|loyalty-betrayal,it's okay,0.0,legal,1,"бути сумним, коли твоя дитина тебе ненавидить",being sad when your kid hates you
confessions,social-norms,care-harm,It's understandable,0.0,legal,1,"бути сумним, коли твій партнер розриває стосунки з тобою після двох років.",being sad when your partner breaks up with you after two years.
confessions,advice,care-harm,It's okay,0.0,legal,1,"сумувати, коли твій партнер закохався в когось іншого.",being sad when your partner has a crush on someone else.
rocstories,advice,care-harm,better,0.0,legal,1,"Краще перестрахуватися, ніж потім шкодувати.",being safe than sorry.
dearabby,morality-ethics,care-harm,it's important,1.0,legal,2,бути обережним за кермом.,being safe when driving a vehicle.
confessions,advice,care-harm,it's good,1.0,legal,2,бути в безпеці під час користування Uber або іншими сервісами спільних поїздок.,being safe when taking Uber or other ride sharing services.
confessions,morality-ethics|advice,care-harm,You're encouraged,0.0,legal,1,бути безпечним за кермом;,being safe when you're behind the wheel
confessions,social-norms,care-harm|sanctity-degradation,should,0.0,legal,1,дотримання гігієни під час користування туалетом.,being sanitary when using the bathroom.
amitheasshole,social-norms,care-harm,you shouldn't,-1.0,legal,0,бути саркастичним і грубим до своєї пари на побаченні.,being sarcastic and mean to your date.
confessions,description,care-harm,it is okay,0.0,,1,боятися,being scared
dearabby,social-norms,care-harm,You should,0.0,legal,1,"відчувати страх за свою дитину, коли ви народжуєте її передчасно.",being scared for your child when you deliver them early.
rocstories,description,care-harm,It's understandable,0.0,legal,1,боятися незнайомця з чужих країв.,being scared of a stranger from an unfamiliar place.
confessions,description,care-harm|loyalty-betrayal,It's understandable,0.0,legal,1,"боятися, що люди дізнаються про насильство;",being scared of people finding out about abuse
confessions,social-norms|advice,care-harm|authority-subversion,shouldn't,-1.0,legal,0,боятися людей з аутизмом.,being scared of people who have autism.
dearabby,morality-ethics,care-harm,It's wrong,-1.0,legal,0,саморуйнування,being self-destructive.
rocstories,advice,care-harm,It's good,1.0,legal,2,бути самодостатнім.,being self-sufficient.
rocstories,morality-ethics,care-harm,It's good,0.0,legal,1,"бути безкорисливим і робити те, що правильно;",being selfless and do what is right
confessions,morality-ethics,care-harm|fairness-cheating,it's understandable,-1.0,legal,0,набридли токсичні сім'ї.,being sick of abusive families.
confessions,social-norms|advice,care-harm|loyalty-betrayal,it's okay,0.0,legal,1,бути неодруженим/незаміжньою,being single
rocstories,social-norms,care-harm,It's understandable,0.0,legal,1,"Бути настільки схвильованим через щось, що аж будиш батьків.",being so excited about something that you wake your parents up.
amitheasshole,social-norms,care-harm,expected,0.0,legal,1,бути товариським як господар.,being sociable as a host.
rocstories,advice,care-harm|loyalty-betrayal,It's good,1.0,legal,2,заспокоєння від свого партнера.,being soothed by your partner.
confessions,description,care-harm,It's understandable,0.0,legal,1,"відчувати стрес, коли не можеш зрозуміти, що відбувається з твоїм здоров'ям.",being stressed when you can't figure out what's going on with your health.
amitheasshole,morality-ethics|social-norms,care-harm|loyalty-betrayal,should,1.0,legal,2,підтримка родини.,being supportive of family.
amitheasshole,morality-ethics|social-norms,care-harm|sanctity-degradation,It is expected,0.0,legal,1,підтримувати чиїсь спроби не вживати алкоголь.,being supportive of somebody else's attempts to not drink.
confessions,morality-ethics,care-harm,It is kind,1.0,legal,2,"підтримувати того, хто хоче самовдосконалюватися.",being supportive of someone that wants to better themselves.
amitheasshole,morality-ethics|social-norms,care-harm,it's good,1.0,legal,2,підтримка мрій вашої дитини.,being supportive of your child's dreams.
amitheasshole,morality-ethics,care-harm|fairness-cheating,good,1.0,legal,2,підтримувати свого партнера у реабілітації,being supportive of your partner going to rehab.
amitheasshole,morality-ethics|advice,care-harm|loyalty-betrayal,you should,2.0,legal,2,"підтримувати свого партнера, коли він переживає важкі часи.",being supportive of your partner when they are going through a tough time.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,It's good,1.0,legal,2,"підтримувати свого партнера, коли він втратив близьку людину.",being supportive of your partner when they've lost a loved one.
amitheasshole,social-norms,care-harm,should,0.0,legal,1,підтримувати свого партнера.,being supportive of your partner.
amitheasshole,morality-ethics,care-harm,You should,2.0,legal,2,підтримка вашої вагітної другої половинки.,being supportive of your pregnant significant other.
amitheasshole,morality-ethics,care-harm,it's expected,1.0,legal,2,підтримка брата чи сестри вашої другої половинки.,being supportive of your significant other's sibling.
confessions,morality-ethics,care-harm,should,0.0,legal,1,"Підтримувати свою сестру, коли вона вагітна.",being supportive of your sister when she's pregnant.
confessions,morality-ethics,care-harm|loyalty-betrayal,expected,0.0,legal,1,бути підтримкою для свого чоловіка/дружини;,being supportive of your spouse
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,You should,0.0,legal,1,"Підтримувати свого чоловіка/дружину, коли вони відсутні через роботу.",being supportive of your spouse when they are away for work.
dearabby,morality-ethics|social-norms,care-harm|loyalty-betrayal,you should,0.0,legal,1,підтримка друга під час хвороби.,being supportive when your friend is ill.
dearabby,social-norms|advice,care-harm,It's important,2.0,legal,2,"бути підтримкою, коли ваш чоловік/дружина повертається з бойових дій.",being supportive when your spouse comes back from combat.
confessions,morality-ethics|social-norms,care-harm|loyalty-betrayal,You should,0.0,legal,1,"Бути підтримкою, коли ваша дружина вагітна",being supportive when your wife is pregnant
rocstories,social-norms|description,care-harm|loyalty-betrayal,You should,1.0,legal,2,"бути вдячним за друзів, які роблять приємні речі на твій день народження.",being thankful for friends that do nice things for your birthday.
rocstories,morality-ethics,care-harm,it's good,1.0,legal,2,бути вдячним за життя у щасливому домі.,being thankful to live in a happy home.
confessions,advice,care-harm,You should,0.0,legal,1,"бути вдячним, коли ваш партнер пече для вас.",being thankful when your partner bakes for you.
confessions,morality-ethics,care-harm|authority-subversion,it's good,1.0,legal,2,"бути найкращою дитиною, якою ти можеш бути.",being the best kid you can be.
confessions,advice,care-harm,It's good,1.0,legal,2,"бути тим, хто працює у стосунках, щоб забезпечувати свого партнера.",being the one working in a relationship so you can support your partner.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,It is expected,2.0,legal,2,"бути поруч із членом родини, який помирає.",being there for a family member that is dying.
amitheasshole,morality-ethics,care-harm,It is nice,1.0,legal,2,"бути поруч з кимось, щоб підтримати їх.",being there for someone to support them.
confessions,morality-ethics,care-harm,It is good,2.0,legal,2,"підтримка людини, яка має ризик завдати собі шкоди.",being there for someone who is at risk of self harm.
rocstories,morality-ethics|social-norms,care-harm,It's kind,1.0,legal,2,"бути поруч з людиною, яка переживає важкі часи;",being there for someone who is having a hard time
confessions,advice,care-harm,it's good,2.0,legal,2,"бути поруч з людиною, яка страждає емоційно.",being there for someone who is suffering emotionally.
confessions,social-norms,care-harm|loyalty-betrayal,It's good,1.0,legal,2,підтримувати членів вашої церкви,being there for your church members.
confessions,social-norms,care-harm|loyalty-betrayal,It's good,2.0,legal,2,"бути поряд з другом, коли у нього проблеми;",being there for your friend when they are having problems
confessions,morality-ethics,care-harm,should,1.0,legal,2,"бути поруч із друзями, якщо вони помирають.",being there for your friends if they are dying.
amitheasshole,social-norms,care-harm,good,1.0,legal,2,"Бути поряд з друзями, коли вони переживають горе через втрату члена родини.",being there for your friends when they are grieving a family member.
amitheasshole,social-norms,care-harm,it is expected,2.0,legal,2,"бути поруч із партнером, коли йому важко.",being there for your partner when they are having a hard time.
confessions,advice,care-harm,should,0.0,legal,1,"бути поруч, щоб заспокоїти свого улюбленця, коли йому страшно.",being there to comfort your pet when they're scared.
amitheasshole,social-norms,care-harm|fairness-cheating,It's cheap,0.0,legal,1,бути толерантними до ідеалів інших людей.,being tolerant of other people's ideals.
confessions,advice,care-harm,it's unwise,-1.0,legal,0,бути занадто суворим до себе,being too hard on yourself
confessions,advice,care-harm,bad,-1.0,legal,0,надто суворо ставитися до себе.,being too hard on yourself.
dearabby,social-norms,care-harm|loyalty-betrayal,It's understandable,0.0,tolerated,1,"отримати травму, коли застаєш свого чоловіка в ліжку зі своїм братом.",being traumatized when you catch your husband with your brother in bed.
amitheasshole,advice,care-harm,It's good,1.0,legal,2,бути вірним собі,being true to yourself.
confessions,social-norms|description,care-harm|loyalty-betrayal,It's frustrating,-1.0,legal,0,бути неспроможним відповзаємнити чиїсь почуття.,being unable to reciprocate someone's affection.
confessions,advice,care-harm,okay,0.0,legal,1,непевність щодо соціальних норм і правил.,being uncertain of social conventions.
dearabby,description,care-harm,It is understandable,0.0,legal,1,відчувати дискомфорт у надмірну спеку.,being uncomfortable in excessive heat.
confessions,social-norms,care-harm|sanctity-degradation,It's okay,0.0,legal,1,"відчувати дискомфорт, коли хтось мастурбує під час розмови з вами.",being uncomfortable when someone masturbates while talking to you.
amitheasshole,morality-ethics|social-norms,care-harm|fairness-cheating,It is okay,0.0,legal,1,відчувати дискомфорт через чужу скорботу.,being uncomfortable with someone else's grief.
amitheasshole,morality-ethics|advice,care-harm,it is good,1.0,legal,2,"бути розуміючим, якщо ваш друг не може зустрітися через соціальну тривожність.",being understanding if your friend can't hangout due to social anxiety.
amitheasshole,morality-ethics,care-harm,should,0.0,legal,1,розуміння ситуацій інших людей.,being understanding of other people's situations.
amitheasshole,social-norms,care-harm|fairness-cheating,it's rude,-1.0,legal,0,бути недружелюбним без поважної причини.,being unfriendly for no good reason.
amitheasshole,description,care-harm,It is okay,0.0,legal,1,"засмучуватись після того, як тебе насварили.",being upset after being scolded.
amitheasshole,description,care-harm,It is understandable,0.0,legal,1,"засмучуватися, коли друг каже, що ти не вмієш добре робити те, що для тебе важливо.",being upset if a friend says you are not good at something you care about doing.
rocstories,description,care-harm,It is okay,0.0,legal,1,"бути засмученим, якщо хтось нападає на тебе.",being upset if someone assaults you.
amitheasshole,description,care-harm|loyalty-betrayal,It's understandable,0.0,legal,1,"бути засмученим, що близькі люди вважають, ніби ми заслуговуємо на жахливе потойбічне життя.",being upset loved ones think we deserve a horrible afterlife.
amitheasshole,description,care-harm|authority-subversion,It's reasonable,0.0,legal,1,"засмучуватись через те, що батьки приховують діагностований рак.",being upset that a parent is hiding a cancer diagnosis.
rocstories,social-norms|description,care-harm|loyalty-betrayal|authority-subversion,It's okay,0.0,legal,1,"бути засмученим, коли людина, якій ви заплатили за догляд за вашими тваринами, не доглядає за ними.",being upset when the person you've paid to watch your animals fails to take care of them.
amitheasshole,morality-ethics|social-norms,care-harm,It's understandable,0.0,legal,1,"засмучуватися, коли існує ризик завдати шкоди комусь, кого ти любиш.",being upset when there's a risk of harm to someone you love.
dearabby,social-norms|description,care-harm,It is okay,0.0,legal,1,"засмучуватись, коли бос кричить на тебе",being upset when your boss yells at you
amitheasshole,social-norms,care-harm,It's okay,1.0,legal,2,Засмучуватися через інших та висловлювати це з повагою.,being upset with others and expressing it respectfully.
amitheasshole,description,care-harm|loyalty-betrayal,It's okay,0.0,legal,1,засмученість стосунками вашого партнера з його/її колишнім.,being upset with your partner's relationship with their ex.
rocstories,morality-ethics|advice,care-harm,It's good,1.0,legal,2,бути дуже щасливим.,being very happy.
amitheasshole,advice,care-harm,It's okay,0.0,legal,1,остерігатися людей із поганим характером.,being wary of people with a nasty temper.
dearabby,advice,care-harm,ok,0.0,legal,1,бути обережним щодо минулого претендента на роботу.,being weary about a job applicant's past.
rocstories,advice,care-harm|authority-subversion,You should,1.0,legal,2,"бути добре підготовленим до проєктів, які ви плануєте реалізувати.",being well prepared for the projects you're expecting to undertake.
confessions,description,care-harm,It's nice,1.0,legal,2,отримати побажання удачі,being wished luck.
confessions,advice,care-harm,shouldn't,0.0,legal,1,"бути з партнером, який ігнорує тебе.",being with a partner that ignores you.
amitheasshole,morality-ethics,care-harm,shouldn't,-1.0,legal,0,"бути з кимось, хто обманює тебе.",being with someone that lies to you.
amitheasshole,morality-ethics,care-harm,shouldn't,-1.0,legal,0,"бути з кимось, хто зраджує тобі.",being with someone who cheats on you.
confessions,advice,care-harm,shouldn't,-1.0,legal,0,"бути з кимось, хто завдає тобі болю.",being with someone who hurts you.
amitheasshole,advice,care-harm,You shouldn't,-1.0,legal,0,"перебування з людиною, яка судить про тебе лише за зовнішністю.",being with someone who judges you based on your looks alone.
amitheasshole,advice,care-harm|loyalty-betrayal,You shouldn't,-1.0,legal,0,"бути з кимось, хто ставить друзів вище за ваші стосунки.",being with someone who puts their friends ahead of your relationship.
confessions,advice,care-harm,It is good,0.0,legal,1,"бути з тим, хто тобі подобається.",being with someone you like.
dearabby,advice|description,care-harm|loyalty-betrayal,It is good,1.0,legal,2,"бути з тим, кого любиш;",being with someone you love
confessions,social-norms|advice,care-harm|loyalty-betrayal,it's good,1.0,legal,2,"бути з тим, кого любиш.",being with someone you love.
confessions,description,care-harm,It's understandable,0.0,legal,1,переживання через смерть.,being worried about dying.
rocstories,morality-ethics,care-harm,It's okay,0.0,legal,1,"хвилюватись за свою другу половинку, коли вона виснажена.",being worried about your spouse when they're exhausted.
rocstories,morality-ethics,care-harm,it's understandable,0.0,legal,1,хвилюватися за безпеку дитини.,being worried for a child's safety.
rocstories,description,care-harm,it's understandable,0.0,legal,1,хвилюватися за вашу безпеку.,being worried for your safety.
rocstories,description,care-harm,It's okay,0.0,legal,1,"хвилюватися, коли хтось перев'язує рану шматком тканини.",being worried when someone bandages an injury with cloth.
confessions,advice,care-harm,should,0.0,legal,1,вірити у свій розум.,believing in your smarts.
confessions,advice,care-harm|sanctity-degradation,you shouldn't,-1.0,legal,0,переїдання,binge eating
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,It's wrong,-2.0,tolerated,0,шантажування членів сім'ї.,blackmailing family members.
dearabby,morality-ethics|social-norms,care-harm|fairness-cheating,shouldn't,-1.0,legal,0,звинувачення інших у смерті вашої дитини.,blaming others for your child's death.
amitheasshole,social-norms,care-harm,It is rude,-2.0,tolerated,0,"вмикати музику надто гучно у своїй квартирі, коли сусіди можуть це чути",blasting music in your apartment when your neighbors can hear it
amitheasshole,description,care-harm,appropriate,0.0,legal,1,"блокування у соціальних мережах будь-кого, кого хочеш, для захисту своєї приватності.",blocking anyone you want to for your privacy on social media.
amitheasshole,social-norms,care-harm,should not,-2.0,tolerated,0,блокування інших під час паркування,blocking others when parking
rocstories,morality-ethics,care-harm|sanctity-degradation,it is rude,-1.0,legal,0,"випалювання слів, не думаючи про людей навколо тебе.",blurting things without thinking about those around you.
confessions,advice|description,care-harm|loyalty-betrayal,it's nice,1.0,legal,2,"зближення з іншими на основі спільних інтересів, яке потім перетворюється на дружбу.",bonding with others over shared interests and then becoming friends.
confessions,advice,care-harm,It's bad,-1.0,legal,0,стримування своїх емоцій.,bottling up your emotions.
rocstories,description,care-harm,it's dangerous,-1.0,legal,0,розбивання скла рукою.,breaking glass with your hand.
amitheasshole,morality-ethics|social-norms,care-harm|authority-subversion,shouldn't,-1.0,illegal,0,проникнення до чужого будинку.,breaking into a house that's not yours.
dearabby,social-norms,care-harm,should,0.0,legal,1,"розірвати стосунки, коли більше не хочеш одружуватися з кимось",breaking off the relationship when you no longer want to marry someone
dearabby,morality-ethics,care-harm|loyalty-betrayal,It's wrong,-1.0,tolerated,0,"порушення священних зв'язків, які ви створили.",breaking sacred bonds you have made.
amitheasshole,morality-ethics,care-harm,it's wrong,-2.0,tolerated,0,псування чужих речей.,breaking someone else's things.
confessions,morality-ethics|advice,care-harm|loyalty-betrayal,You shouldn't,-1.0,legal,0,розбити комусь серце.,breaking someone's heart.
rocstories,morality-ethics|social-norms,care-harm,It's rude,-1.0,tolerated,0,розбити чиюсь вазу і не сказати їм про це.,breaking someone's vase without telling them.
amitheasshole,morality-ethics|social-norms,care-harm,It is bad,-1.0,illegal,0,псування чужого майна.,breaking the belongings of others.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,bad,-1.0,legal,0,руйнування сім'ї,breaking up a family
confessions,morality-ethics,care-harm|loyalty-betrayal,should,0.0,legal,1,"розірвати стосунки з кимось перед тим, як зрадити.",breaking up with someone before you cheat on them.
amitheasshole,morality-ethics,care-harm|authority-subversion,it's ok,0.0,legal,1,"розірвати стосунки з кимось за те, що псує твій настрій.",breaking up with someone for dragging your mood down.
amitheasshole,morality-ethics|advice,care-harm|fairness-cheating,okay,0.0,legal,1,"розрив стосунків з людиною, якщо вам з нею некомфортно",breaking up with someone if you are not comfortable with them
confessions,morality-ethics|description,care-harm|fairness-cheating,you should,2.0,legal,2,"розірвати стосунки з кимось, якщо ти думаєш, що зрадиш їм.",breaking up with someone if you think you will cheat on them.
amitheasshole,advice,care-harm,okay,0.0,legal,1,"розрив стосунків з кимось, коли ці стосунки вам не підходять.",breaking up with someone when the relationship isn't working for you.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,It is hurtful,-1.0,legal,0,розрив стосунків з кимось,breaking up with someone.
rocstories,advice,care-harm,shouldn't,-1.0,legal,0,ламаючи свою побутову техніку;,breaking your appliances
rocstories,social-norms|advice,care-harm|authority-subversion|sanctity-degradation,You should,1.0,legal,2,брати пакет для прибирання за своїм собакою під час прогулянки.,bringing a bag to clean up your dog's poop when you walk it.
rocstories,advice,care-harm,should,0.0,legal,1,"брати з собою ліхтарик, коли не бачиш, куди йдеш",bringing a flashlight when you can't see where you are going
amitheasshole,social-norms,care-harm,It is nice,1.0,legal,2,принесення освіжаючих напоїв/закусок на зустріч.,bringing refreshments to a get together.
dearabby,morality-ethics,care-harm|fairness-cheating,it's wrong,-2.0,legal,0,народження небажаних дітей.,bringing unwanted children into the world.
rocstories,social-norms,care-harm|sanctity-degradation,it's good,0.0,legal,1,чищення зубів вранці.,brushing your teeth in the morning.
rocstories,advice,care-harm,It's expected,0.0,legal,1,"ретельно чистити зуби, щоб зберегти їх здоровими;",brushing your teeth well to keep them healthy
rocstories,morality-ethics|social-norms|advice,care-harm,It's good,1.0,legal,2,чищення зубів щодня.,brushingt your teeth every day.
dearabby,advice,care-harm,It's powerful,0.0,legal,1,Розбудовування впевненості через фізичні вправи.,building your confidence through fitness.
rocstories,morality-ethics,care-harm,it's wrong,-2.0,tolerated,0,цькування,bullying
confessions,morality-ethics,care-harm,It's mean,-2.0,legal,0,цькування дітей в інтернеті,bullying children on the internet.
confessions,morality-ethics,care-harm,You shouldn't,-1.0,legal,0,знущатися над дітьми,bullying kids.
amitheasshole,morality-ethics|social-norms,care-harm,it is wrong,-1.0,legal,0,знущання над іншими людьми.,bullying other people.
confessions,morality-ethics|social-norms,care-harm,You shouldn't,-2.0,tolerated,0,цькування інших.,bullying others.
amitheasshole,morality-ethics,care-harm,it's wrong,-2.0,tolerated,0,знущання над людьми.,bullying people.
amitheasshole,morality-ethics|social-norms,care-harm,it's rude,-2.0,tolerated,0,цькування когось,bullying someone
amitheasshole,morality-ethics,care-harm,is wrong,-2.0,tolerated,0,цькування когось в інтернеті.,bullying someone on the internet.
amitheasshole,morality-ethics|social-norms,care-harm,it's bad,-1.0,tolerated,0,знущання з когось.,bullying someone.
rocstories,morality-ethics|social-norms,care-harm,It's rude,-1.0,legal,0,натрапляти на людей.,bumping into people.
dearabby,advice,care-harm|loyalty-betrayal,It's wrong,-1.0,legal,0,обтяжувати когось таємницею.,burdening someone with a secret.
