area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label,action_ukr,action_ukr_spivavtor,action_ukr_s_gec
rocstories,4.0,morality-ethics|social-norms,care-harm|authority-subversion,it's ok,being nervous about going to the doctor.,0.0,legal,1,нервувати перед візитом до лікаря.,Перед візитом до лікаря нервувати.,Перед візитом до лікаря нервувати.
dearabby,4.0,description,care-harm,It's ok,being nervous about having sex again after being widowed,0.0,legal,1,"нервувати через те, що після овдовіння знову хочеться займатися сексом","Невдоволення через те, що після овдовіння знову хочеться займатися сексом","Невдоволення через те, що після овдовіння знову хочеться займатися сексом"
rocstories,4.0,description,care-harm,It's understandable,being nervous when you take your driver's license test,0.0,legal,1,нервувати під час складання іспиту на отримання водійських прав,нервувати під час складання іспиту на отримання водійських прав,нервувати під час складання іспиту на отримання водійських прав
dearabby,4.0,social-norms,care-harm,should,being nice and respectful to your party host.,1.0,legal,2,бути ввічливими та поважними до господаря вечірки.,Будьте ввічливими та поважними до господаря вечірки.,Будьте ввічливими та поважними до господаря вечірки.
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You should,being nice in messages to your teachers.,0.0,legal,1,бути ввічливими у спілкуванні з викладачами.,бути ввічливими у спілкуванні з викладачами.,бути ввічливими у спілкуванні з викладачами.
confessions,4.0,morality-ethics,care-harm,is good,being nice to others.,1.0,legal,2,бути добрим до інших.,бути добрим до інших.,бути добрим до інших.
rocstories,4.0,social-norms|advice,care-harm,You should,being nice to your neighbors.,1.0,legal,2,бути добрим до своїх сусідів.,Будь добрим до своїх сусідів.,Будь добрим до своїх сусідів.
rocstories,4.0,morality-ethics,care-harm,it's good,being nice to your parents.,1.0,legal,2,бути чемним з батьками.,Будь чемним з батьками.,Будь чемним з батьками.
amitheasshole,4.0,social-norms,care-harm,You shouldn't,being noisy around your roommates.,-1.0,legal,0,шуміти з сусідами по кімнаті.,Шуміти з сусідами по кімнаті.,Шуміти з сусідами по кімнаті.
rocstories,4.0,advice,care-harm,It's good,being observant of your surroundings.,0.0,legal,1,бути уважним до свого оточення.,бути уважним до свого оточення.,бути уважним до свого оточення.
confessions,4.0,social-norms,care-harm,it's understandable,being offended when someone calls you disgusting and crazy.,0.0,legal,1,"ображатися, коли хтось називає тебе огидним і божевільним.","Обоютися, коли хтось називає тебе огидним і божевільним.","Обоютися, коли хтось називає тебе огидним і божевільним."
confessions,4.0,morality-ethics,care-harm,It's fine,being offended when someone is an asshole to you,0.0,legal,1,"ображатися, коли хтось поводиться з тобою, як з мудаком","Обоютися, коли хтось поводиться з тобою, як з мудаком","Обоютися, коли хтось поводиться з тобою, як з мудаком"
amitheasshole,4.0,social-norms,care-harm,it's okay,being offended when someone is shouting at you.,0.0,legal,1,"ображатися, коли на тебе кричать.","Коли на тебе кричать, ображатися.","Коли на тебе кричать, ображатися."
rocstories,4.0,description,care-harm|loyalty-betrayal,it's understandable,being offended when someone is trying to get rid of you.,0.0,,1,"ображатися, коли хтось намагається тебе позбутися.","Обоютися, коли хтось намагається тебе позбутися.","Обоютися, коли хтось намагається тебе позбутися."
confessions,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,It's fine,being offended when someone isn't upset by their racism.,0.0,legal,1,"ображатися, коли когось не засмучує їхній расизм.","Обоютися, коли когось не засмучує їхній расизм.","Обоютися, коли когось не засмучує їхній расизм."
rocstories,4.0,description,care-harm,It's understandable,being offended when your friend belittles you,0.0,legal,1,"ображатися, коли твій друг принижує тебе","Обоютися, коли твій друг принижує тебе","Обоютися, коли твій друг принижує тебе"
dearabby,4.0,description,care-harm,It's understandable,being overwhelmed by the loss of a loved one.,0.0,legal,1,бути пригніченим втратою коханої людини.,бути пригніченим втратою коханої людини.,бути пригніченим втратою коханої людини.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It is important,being part of your child's life.,1.0,legal,2,бути частиною життя вашої дитини.,бути частиною життя вашої дитини.,бути частиною життя вашої дитини.
amitheasshole,4.0,social-norms,care-harm,It is rude,being passive aggressive.,-1.0,legal,0,бути пасивно-агресивним.,бути пасивно-агресивним.,бути пасивно-агресивним.
amitheasshole,4.0,morality-ethics,care-harm,It's kind,being patient and forgiving with your loved ones.,1.0,legal,2,бути терплячим і прощати своїх близьких.,Будь терплячим і прощайте своїх близьких.,Будь терплячим і прощайте своїх близьких.
rocstories,4.0,social-norms,care-harm|loyalty-betrayal,you should,being patient and wait when someone is going to pick you up.,0.0,legal,1,"набратися терпіння і чекати, коли вас заберуть.","Набрати терпіння і чекати, коли вас заберуть.","Набрати терпіння і чекати, коли вас заберуть."
amitheasshole,4.0,advice,care-harm,should,being patient if someone is having trouble finding something.,0.0,legal,1,"бути терплячим, якщо у когось виникають проблеми з пошуком чогось.","Будь терплячим, якщо у когось виникають проблеми з пошуком чогось.","Будь терплячим, якщо у когось виникають проблеми з пошуком чогось."
amitheasshole,4.0,social-norms,care-harm,should,being patient with other people.,0.0,legal,1,бути терплячим до інших людей.,бути терплячим до інших людей.,бути терплячим до інших людей.
amitheasshole,4.0,social-norms|advice,care-harm|fairness-cheating,It's good,being patient.,2.0,legal,2,бути терплячим.,бути терплячим.,бути терплячим.
confessions,4.0,social-norms|advice,care-harm,You shouldn't,being pessimistic about life.,-1.0,legal,0,песимістичне ставлення до життя.,Песимістичне ставлення до життя.,Песимістичне ставлення до життя.
amitheasshole,4.0,morality-ethics,care-harm|fairness-cheating,It is bad,being petty with friends,-1.0,legal,0,бути дріб'язковим з друзями,бути дріб'язковим з друзями,бути дріб'язковим з друзями
confessions,4.0,morality-ethics,care-harm,It is wrong,being petty.,-1.0,legal,0,бути дріб'язковим.,бути дріб'язковим.,бути дріб'язковим.
rocstories,4.0,,care-harm,it's good,being physically active.,1.0,legal,2,бути фізично активним.,бути фізично активним.,бути фізично активним.
dearabby,4.0,social-norms,care-harm,should,being polite if you need to decline a gift,1.0,legal,2,"бути ввічливим, якщо вам потрібно відмовитися від подарунка","Будь ввічливим, якщо вам потрібно відмовитися від подарунка","Будь ввічливим, якщо вам потрібно відмовитися від подарунка"
amitheasshole,4.0,social-norms,care-harm|authority-subversion,expected,being polite to your customers.,0.0,legal,1,бути ввічливими з клієнтами.,бути ввічливими з клієнтами.,бути ввічливими з клієнтами.
rocstories,4.0,advice,care-harm,it's good,being prepared,0.0,legal,1,готується,Готується,Готується
rocstories,4.0,advice,care-harm,You should,being prepared before you go camping,0.0,legal,1,підготовка до походу,Підготовка до походу,Підготовка до походу
rocstories,4.0,social-norms|advice,care-harm,it is wise,being prepared for emergencies.,2.0,legal,2,бути готовими до надзвичайних ситуацій.,Будь готовим до надзвичайних ситуацій.,Будь готовим до надзвичайних ситуацій.
rocstories,4.0,advice,care-harm,should,being prepared for tests you take.,0.0,legal,1,"готуватися до тестів, які ви здаєте.","Готуватися до тестів, які ви здаєте.","Готуватися до тестів, які ви здаєте."
rocstories,4.0,social-norms|advice,care-harm|authority-subversion,It's good,being prepared for your wedding.,1.0,legal,2,готуючись до весілля.,Готуючись до весілля.,Готуючись до весілля.
rocstories,4.0,advice,care-harm,should,being prepared.,0.0,legal,1,готується.,Готується.,Готується.
rocstories,4.0,advice,care-harm,it's good,being proactive when it comes to your health.,0.0,legal,1,"бути проактивними, коли справа стосується вашого здоров'я.","Будь проактивним, коли справа стосується вашого здоров'я.","Будь проактивним, коли справа стосується вашого здоров'я."
dearabby,4.0,advice,care-harm,It's good,being proactive with your health.,0.0,legal,1,проактивно ставитися до свого здоров'я.,Проактивно ставитися до свого здоров'я.,Проактивно ставитися до свого здоров'я.
amitheasshole,4.0,description,care-harm,you should,being professional with your patients as a doctor,0.0,legal,1,професійно ставитися до своїх пацієнтів як лікар,професійно ставитися до своїх пацієнтів як лікар,професійно ставитися до своїх пацієнтів як лікар
amitheasshole,4.0,social-norms|description,care-harm,It's okay,being protective of a significant other.,0.0,legal,1,захищати близьку людину.,Захищати близьку людину.,Захищати близьку людину.
amitheasshole,4.0,morality-ethics,care-harm,It is okay,being protective of your belongings.,0.0,legal,1,берегти свої речі.,Бережіть свої речі.,Бережіть свої речі.
rocstories,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It is okay,being proud of weight loss.,0.0,legal,1,пишатися схудненням.,Писатися схудненням.,Писатися схудненням.
confessions,4.0,advice,care-harm,good,being proud of your accomplishments.,1.0,legal,2,пишатися своїми досягненнями.,Писатися своїми досягненнями.,Писатися своїми досягненнями.
rocstories,4.0,advice,care-harm,It's important,being rational about your future when you consider marrying someone,0.0,legal,1,"раціонально підходити до свого майбутнього, коли ви плануєте одружитися з кимось","Раціонально підходити до свого майбутнього, коли ви плануєте одружитися з кимось.","Раціонально підходити до свого майбутнього, коли ви плануєте одружитися з кимось."
rocstories,4.0,morality-ethics,care-harm,It's understandable,being relieved when you don't lose a patient.,0.0,legal,1,"відчувати полегшення, коли не втрачаєш пацієнта.","Відчувати полегшення, коли не втрачаєш пацієнта.","Відчувати полегшення, коли не втрачаєш пацієнта."
amitheasshole,4.0,morality-ethics|advice,care-harm|fairness-cheating,should,being respectful of other people's budgets.,1.0,legal,2,з повагою ставитися до чужих бюджетів.,З повагою ставитися до чужих бюджетів.,З повагою ставитися до чужих бюджетів.
amitheasshole,4.0,morality-ethics,care-harm|authority-subversion,It is important,being respectful of other people.,1.0,legal,2,поважати інших людей.,Повага до інших людей.,Повага до інших людей.
amitheasshole,4.0,social-norms,care-harm,it's expected,being respectful of people with disabilities.,0.0,legal,1,з повагою ставитися до людей з інвалідністю.,З повагою ставитися до людей з інвалідністю.,З повагою ставитися до людей з інвалідністю.
confessions,4.0,social-norms,care-harm,should,being respectful of someone's alone time.,1.0,legal,2,поважати чийсь особистий час.,Поважати чийсь особистий час.,Поважати чийсь особистий час.
amitheasshole,4.0,social-norms,care-harm,People in an office should,being respectful of their coworkers.,0.0,legal,1,поважати своїх колег.,Поважати своїх колег.,Поважати своїх колег.
rocstories,4.0,morality-ethics,care-harm,You should,being respectful of your teammates.,0.0,legal,1,поважати своїх товаришів по команді.,Поважати своїх товаришів по команді.,Поважати своїх товаришів по команді.
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,should,being respectful to your parents.,1.0,legal,2,шанобливе ставлення до батьків.,Шанобливе ставлення до батьків.,Шанобливе ставлення до батьків.
amitheasshole,4.0,morality-ethics,care-harm,should,being responsible for what they break,0.0,legal,1,"нести відповідальність за те, що вони ламають","нести відповідальність за те, що вони ламають","нести відповідальність за те, що вони ламають"
dearabby,4.0,advice,care-harm,It's good,being responsible for yourself.,1.0,legal,2,бути відповідальним за себе.,бути відповідальним за себе.,бути відповідальним за себе.
rocstories,4.0,social-norms|advice,care-harm,It's good,being responsible.,0.0,legal,1,бути відповідальним.,бути відповідальним.,бути відповідальним.
amitheasshole,4.0,social-norms,care-harm,should not,being rude to other people.,-1.0,legal,0,бути грубим з іншими людьми.,бути грубим з іншими людьми.,бути грубим з іншими людьми.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It is wrong,being rude to others,-1.0,legal,0,грубість по відношенню до інших,грубість по відношенню до інших,грубість по відношенню до інших
amitheasshole,4.0,morality-ethics|social-norms,care-harm,it's wrong,being rude to people on public transportation.,-1.0,legal,0,грубіянити людям у громадському транспорті.,грубіянити людям у громадському транспорті.,грубіянити людям у громадському транспорті.
confessions,4.0,morality-ethics,care-harm,It's wrong,being rude to people.,-1.0,legal,0,бути грубим з людьми.,бути грубим з людьми.,бути грубим з людьми.
confessions,4.0,social-norms,care-harm,it's okay,being sad about death.,0.0,legal,1,сумувати про смерть.,Сумувати про смерть.,Сумувати про смерть.
rocstories,4.0,description,care-harm,it's understandable,being sad at the passing of a parent.,0.0,legal,1,сумувати через смерть одного з батьків.,Сумувати через смерть одного з батьків.,Сумувати через смерть одного з батьків.
confessions,4.0,description,care-harm,It is ok,being sad if someone who has cancer is going to die from it.,0.0,legal,1,"сумувати, якщо хтось, хто хворий на рак, помре від нього.","Сумувати, якщо хтось, хто хворий на рак, помре від нього.","Сумувати, якщо хтось, хто хворий на рак, помре від нього."
rocstories,4.0,advice,care-harm|loyalty-betrayal,it's understandable,being sad when you fall out of love with your spouse.,0.0,legal,1,"сумувати, коли ви розлюбите свого чоловіка або дружину.","Сумувати, коли ви розлюбите свого чоловіка або дружину.","Сумувати, коли ви розлюбите свого чоловіка або дружину."
confessions,4.0,advice|description,care-harm,understandable,being sad when you feel alone.,0.0,legal,1,"сумувати, коли відчуваєш себе самотнім.","Сумувати, коли відчуваєш себе самотнім.","Сумувати, коли відчуваєш себе самотнім."
confessions,4.0,description,care-harm|loyalty-betrayal,it's okay,being sad when your kid hates you,0.0,legal,1,"сумувати, коли ваша дитина вас ненавидить","Сумувати, коли ваша дитина вас ненавидить","Сумувати, коли ваша дитина вас ненавидить"
confessions,4.0,social-norms,care-harm,It's understandable,being sad when your partner breaks up with you after two years.,0.0,legal,1,"сумувати, коли ваш партнер розлучається з вами після двох років.","Сумувати, коли ваш партнер розлучається з вами після двох років.","Сумувати, коли ваш партнер розлучається з вами після двох років."
confessions,4.0,advice,care-harm,It's okay,being sad when your partner has a crush on someone else.,0.0,legal,1,"сумувати, коли ваш партнер закохався в когось іншого.","Сумувати, коли ваш партнер закохався в когось іншого.","Сумувати, коли ваш партнер закохався в когось іншого."
rocstories,4.0,advice,care-harm,better,being safe than sorry.,0.0,legal,1,"краще перестрахуватися, ніж потім шкодувати.","краще перестрахуватися, ніж потім шкодувати.","краще перестрахуватися, ніж потім шкодувати."
dearabby,4.0,morality-ethics,care-harm,it's important,being safe when driving a vehicle.,1.0,legal,2,безпека під час керування транспортним засобом.,безпека під час керування транспортним засобом.,безпека під час керування транспортним засобом.
confessions,4.0,advice,care-harm,it's good,being safe when taking Uber or other ride sharing services.,1.0,legal,2,"бути в безпеці, користуючись Uber або іншими сервісами спільного використання транспорту.","бути в безпеці, користуючись Uber або іншими сервісами спільного використання транспорту.","бути в безпеці, користуючись Uber або іншими сервісами спільного використання транспорту."
confessions,4.0,morality-ethics|advice,care-harm,You're encouraged,being safe when you're behind the wheel,0.0,legal,1,"бути в безпеці, коли ви за кермом","бути в безпеці, коли ви за кермом","бути в безпеці, коли ви за кермом"
confessions,4.0,social-norms,care-harm|sanctity-degradation,should,being sanitary when using the bathroom.,0.0,legal,1,дотримуватися гігієни під час користування туалетом.,Дотримуватися гігієни під час користування туалетом.,Дотримуватися гігієни під час користування туалетом.
amitheasshole,4.0,social-norms,care-harm,you shouldn't,being sarcastic and mean to your date.,-1.0,legal,0,бути саркастичним і злим на побаченні.,бути саркастичним і злим на побаченні.,бути саркастичним і злим на побаченні.
confessions,4.0,description,care-harm,it is okay,being scared,0.0,,1,бути наляканим.,бути наляканим.,бути наляканим.
dearabby,4.0,social-norms,care-harm,You should,being scared for your child when you deliver them early.,0.0,legal,1,"боятися за свою дитину, коли ви народжуєте передчасно.","Боятися за свою дитину, коли ви народжуєте передчасно.","Боятися за свою дитину, коли ви народжуєте передчасно."
rocstories,4.0,description,care-harm,It's understandable,being scared of a stranger from an unfamiliar place.,0.0,legal,1,боятися незнайомця з незнайомого місця.,Боюся незнайомця з незнайомого місця.,Боюся незнайомця з незнайомого місця.
confessions,4.0,description,care-harm|loyalty-betrayal,It's understandable,being scared of people finding out about abuse,0.0,legal,1,"боязнь того, що люди дізнаються про насильство","Боязнь того, що люди дізнаються про насильство","Боязнь того, що люди дізнаються про насильство"
confessions,4.0,social-norms|advice,care-harm|authority-subversion,shouldn't,being scared of people who have autism.,-1.0,legal,0,боятися людей з аутизмом.,Боятися людей з аутизмом.,Боятися людей з аутизмом.
dearabby,4.0,morality-ethics,care-harm,It's wrong,being self-destructive.,-1.0,legal,0,бути саморуйнівним.,бути саморуйнівним.,бути саморуйнівним.
rocstories,4.0,advice,care-harm,It's good,being self-sufficient.,1.0,legal,2,бути самодостатнім.,бути самодостатнім.,бути самодостатнім.
rocstories,4.0,morality-ethics,care-harm,It's good,being selfless and do what is right,0.0,legal,1,"бути безкорисливим і робити те, що правильно","бути безкорисливим і робити те, що правильно","бути безкорисливим і робити те, що правильно"
confessions,4.0,morality-ethics,care-harm|fairness-cheating,it's understandable,being sick of abusive families.,-1.0,legal,0,від насильства в сім'ях.,Від насильства в сім'ях.,Від насильства в сім'ях.
confessions,4.0,social-norms|advice,care-harm|loyalty-betrayal,it's okay,being single,0.0,legal,1,бути самотнім,бути самотнім,бути самотнім
rocstories,4.0,social-norms,care-harm,It's understandable,being so excited about something that you wake your parents up.,0.0,legal,1,"бути настільки схвильованим чимось, що розбудиш батьків.","Будь настільки схвильованим чимось, що розбудиш батьків.","Будь настільки схвильованим чимось, що розбудиш батьків."
amitheasshole,4.0,social-norms,care-harm,expected,being sociable as a host.,0.0,legal,1,бути комунікабельним у ролі господаря.,бути комунікабельним у ролі господаря.,бути комунікабельним у ролі господаря.
rocstories,4.0,advice,care-harm|loyalty-betrayal,It's good,being soothed by your partner.,1.0,legal,2,коли вас заспокоює ваш партнер.,Коли вас заспокоює ваш партнер.,Коли вас заспокоює ваш партнер.
confessions,4.0,description,care-harm,It's understandable,being stressed when you can't figure out what's going on with your health.,0.0,legal,1,"стрес, коли ви не можете зрозуміти, що відбувається з вашим здоров'ям.","стрес, коли ви не можете зрозуміти, що відбувається з вашим здоров'ям.","стрес, коли ви не можете зрозуміти, що відбувається з вашим здоров'ям."
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,should,being supportive of family.,1.0,legal,2,підтримувати сім'ю.,Підтримувати сім'ю.,Підтримувати сім'ю.
amitheasshole,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,It is expected,being supportive of somebody else's attempts to not drink.,0.0,legal,1,підтримувати чиїсь спроби не пити.,Підтримувати чиїсь спроби не пити.,Підтримувати чиїсь спроби не пити.
confessions,4.0,morality-ethics,care-harm,It is kind,being supportive of someone that wants to better themselves.,1.0,legal,2,"підтримувати того, хто хоче стати кращим.","Підтримувати того, хто хоче стати кращим.","Підтримувати того, хто хоче стати кращим."
amitheasshole,4.0,morality-ethics|social-norms,care-harm,it's good,being supportive of your child's dreams.,1.0,legal,2,підтримувати мрії своєї дитини.,Підтримувати мрії своєї дитини.,Підтримувати мрії своєї дитини.
amitheasshole,4.0,morality-ethics,care-harm|fairness-cheating,good,being supportive of your partner going to rehab.,1.0,legal,2,"підтримувати партнера, який проходить реабілітацію.","Підтримувати партнера, який проходить реабілітацію.","Підтримувати партнера, який проходить реабілітацію."
amitheasshole,4.0,morality-ethics|advice,care-harm|loyalty-betrayal,you should,being supportive of your partner when they are going through a tough time.,2.0,legal,2,"підтримувати партнера, коли він переживає важкі часи.","Підтримувати партнера, коли він переживає важкі часи.","Підтримувати партнера, коли він переживає важкі часи."
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It's good,being supportive of your partner when they've lost a loved one.,1.0,legal,2,"підтримувати свого партнера, коли він втратив близьку людину.","Підтримувати свого партнера, коли він втратив близьку людину.","Підтримувати свого партнера, коли він втратив близьку людину."
amitheasshole,4.0,social-norms,care-harm,should,being supportive of your partner.,0.0,legal,1,підтримувати свого партнера.,Підтримувати свого партнера.,Підтримувати свого партнера.
amitheasshole,4.0,morality-ethics,care-harm,You should,being supportive of your pregnant significant other.,2.0,legal,2,підтримувати вагітну другу половинку.,Підтримувати вагітну другу половинку.,Підтримувати вагітну другу половинку.
amitheasshole,4.0,morality-ethics,care-harm,it's expected,being supportive of your significant other's sibling.,1.0,legal,2,підтримувати брата чи сестру своєї другої половинки.,Підтримувати брата чи сестру своєї другої половинки.,Підтримувати брата чи сестру своєї другої половинки.
confessions,4.0,morality-ethics,care-harm,should,being supportive of your sister when she's pregnant.,0.0,legal,1,"підтримувати сестру, коли вона вагітна.","Підтримувати сестру, коли вона вагітна.","Підтримувати сестру, коли вона вагітна."
confessions,4.0,morality-ethics,care-harm|loyalty-betrayal,expected,being supportive of your spouse,0.0,legal,1,підтримувати свого чоловіка/дружину,підтримувати свого чоловіка/дружину,підтримувати свого чоловіка/дружину
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,You should,being supportive of your spouse when they are away for work.,0.0,legal,1,"підтримувати свого чоловіка/дружину, коли він/вона у від'їзді на роботі.","Підтримувати свого чоловіка/дружину, коли він/вона у від'їзді на роботу.","Підтримувати свого чоловіка/дружину, коли він/вона у від'їзді на роботу."
dearabby,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,you should,being supportive when your friend is ill.,0.0,legal,1,"підтримувати, коли твій друг хворіє.","Підтримувати, коли твій друг хворіє.","Підтримувати, коли твій друг хворіє."
dearabby,4.0,social-norms|advice,care-harm,It's important,being supportive when your spouse comes back from combat.,2.0,legal,2,"підтримувати чоловіка, коли він повертається з фронту.","Підтримувати чоловіка, коли він повертається з фронту.","Підтримувати чоловіка, коли він повертається з фронту."
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,You should,being supportive when your wife is pregnant,0.0,legal,1,"підтримувати дружину, коли вона вагітна","Підтримувати дружину, коли вона вагітна","Підтримувати дружину, коли вона вагітна"
rocstories,4.0,social-norms|description,care-harm|loyalty-betrayal,You should,being thankful for friends that do nice things for your birthday.,1.0,legal,2,"бути вдячним друзям, які роблять приємні речі на твій день народження.","Будь вдячним друзям, які роблять приємні речі на твій день народження.","Будь вдячним друзям, які роблять приємні речі на твій день народження."
rocstories,4.0,morality-ethics,care-harm,it's good,being thankful to live in a happy home.,1.0,legal,2,"бути вдячним за те, що живеш у щасливому домі.","Будь вдячним за те, що живеш у щасливому домі.","Будь вдячним за те, що живеш у щасливому домі."
confessions,4.0,advice,care-harm,You should,being thankful when your partner bakes for you.,0.0,legal,1,"бути вдячним, коли ваш партнер пече для вас.","Будь вдячним, коли ваш партнер пече для вас.","Будь вдячним, коли ваш партнер пече для вас."
confessions,4.0,morality-ethics,care-harm|authority-subversion,it's good,being the best kid you can be.,1.0,legal,2,"бути найкращою дитиною, якою ти можеш бути.","Будь найкращою дитиною, якою ти можеш бути.","Будь найкращою дитиною, якою ти можеш бути."
confessions,4.0,advice,care-harm,It's good,being the one working in a relationship so you can support your partner.,1.0,legal,2,"бути тим, хто працює у стосунках, щоб підтримувати свого партнера.","Будь одним із тих, хто працює у стосунках, щоб підтримувати свого партнера.","Будь одним із тих, хто працює у стосунках, щоб підтримувати свого партнера."
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It is expected,being there for a family member that is dying.,2.0,legal,2,"бути поруч із членом сім'ї, який помирає.","бути поруч із членом сім'ї, який помирає.","бути поруч із членом сім'ї, який помирає."
amitheasshole,4.0,morality-ethics,care-harm,It is nice,being there for someone to support them.,1.0,legal,2,"мати когось, хто їх підтримає.","мати когось, хто їх підтримає.","мати когось, хто їх підтримає."
confessions,4.0,morality-ethics,care-harm,It is good,being there for someone who is at risk of self harm.,2.0,legal,2,"бути поруч з тим, хто ризикує завдати собі шкоди.","Будь поруч з тим, хто ризикує завдати собі шкоди.","Будь поруч із тим, хто ризикує завдати собі шкоди."
rocstories,4.0,morality-ethics|social-norms,care-harm,It's kind,being there for someone who is having a hard time,1.0,legal,2,"бути поруч з тим, кому важко","бути поруч з тим, кому важко","бути поруч з тим, кому важко"
confessions,4.0,advice,care-harm,it's good,being there for someone who is suffering emotionally.,2.0,legal,2,"бути поруч з тим, хто емоційно страждає.","бути поруч з тим, хто емоційно страждає.","бути поруч з тим, хто емоційно страждає."
confessions,4.0,social-norms,care-harm|loyalty-betrayal,It's good,being there for your church members.,1.0,legal,2,бути поруч з членами вашої церкви.,Будь поруч з членами вашої церкви.,Будь поруч із членами вашої церкви.
confessions,4.0,social-norms,care-harm|loyalty-betrayal,It's good,being there for your friend when they are having problems,2.0,legal,2,"бути поруч з другом, коли у нього проблеми","бути поруч з другом, коли у нього проблеми","бути поруч з другом, коли у нього проблеми"
confessions,4.0,morality-ethics,care-harm,should,being there for your friends if they are dying.,1.0,legal,2,"бути поруч з друзями, якщо вони помирають.","Якщо вони помирають, бути поруч з друзями.","Якщо вони помирають, бути поруч із друзями."
amitheasshole,4.0,social-norms,care-harm,good,being there for your friends when they are grieving a family member.,1.0,legal,2,"бути поруч з друзями, коли вони переживають втрату члена сім'ї.","бути поруч з друзями, коли вони переживають втрату члена сім'ї.","бути поруч із друзями, коли вони переживають втрату члена сім'ї."
amitheasshole,4.0,social-norms,care-harm,it is expected,being there for your partner when they are having a hard time.,2.0,legal,2,"бути поруч з партнером, коли йому важко.","бути поруч з партнером, коли йому важко.","бути поруч з партнером, коли йому важко."
confessions,4.0,advice,care-harm,should,being there to comfort your pet when they're scared.,0.0,legal,1,"бути поруч, щоб заспокоїти вашого улюбленця, коли він наляканий.","Будь поруч, щоб заспокоїти вашого улюбленця, коли він наляканий.","Будь поруч, щоб заспокоїти вашого улюбленця, коли він наляканий."
amitheasshole,4.0,social-norms,care-harm|fairness-cheating,It's cheap,being tolerant of other people's ideals.,0.0,legal,1,бути толерантним до чужих ідеалів.,бути толерантним до чужих ідеалів.,бути толерантним до чужих ідеалів.
confessions,4.0,advice,care-harm,it's unwise,being too hard on yourself,-1.0,legal,0,бути занадто суворим до себе,бути занадто суворим до себе,бути занадто суворим до себе
confessions,4.0,advice,care-harm,bad,being too hard on yourself.,-1.0,legal,0,бути занадто суворим до себе.,бути занадто суворим до себе.,бути занадто суворим до себе.
dearabby,4.0,social-norms,care-harm|loyalty-betrayal,It's understandable,being traumatized when you catch your husband with your brother in bed.,0.0,tolerated,1,"травмуватися, коли застаєш чоловіка з братом у ліжку.","травмуватися, коли залишити чоловіка з братом у ліжку.","травмуватися, коли залишити чоловіка з братом у ліжку."
amitheasshole,4.0,advice,care-harm,It's good,being true to yourself.,1.0,legal,2,бути вірним собі.,Будь вірним собі.,Будь вірним собі.
confessions,4.0,social-norms|description,care-harm|loyalty-betrayal,It's frustrating,being unable to reciprocate someone's affection.,-1.0,legal,0,нездатність відповісти на чиюсь прихильність.,Нездатність відповісти на чиюсь прихильність.,Нездатність відповісти на чиюсь прихильність.
confessions,4.0,advice,care-harm,okay,being uncertain of social conventions.,0.0,legal,1,невпевненість у соціальних конвенціях.,Невпевненість у соціальних конвенціях.,Невпевненість у соціальних конвенціях.
dearabby,4.0,description,care-harm,It is understandable,being uncomfortable in excessive heat.,0.0,legal,1,відчувати дискомфорт у надмірній спеці.,Відчувати дискомфорт у надмірній спеці.,Відчувати дискомфорт у надмірній спеці.
confessions,4.0,social-norms,care-harm|sanctity-degradation,It's okay,being uncomfortable when someone masturbates while talking to you.,0.0,legal,1,"відчувати дискомфорт, коли хтось мастурбує під час розмови з вами.","Відчувати дискомфорт, коли хтось мастурбує під час розмови з вами.","Відчувати дискомфорт, коли хтось мастурбує під час розмови з вами."
amitheasshole,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It is okay,being uncomfortable with someone else's grief.,0.0,legal,1,відчувати дискомфорт від чужого горя.,Відчувати дискомфорт від чужого горя.,Відчувати дискомфорт від чужого горя.
amitheasshole,4.0,morality-ethics|advice,care-harm,it is good,being understanding if your friend can't hangout due to social anxiety.,1.0,legal,2,"з розумінням ставитися до того, що ваш друг не може потусуватися через соціальну тривожність.","З розумінням ставитися до того, що ваш друг не може потусуватися через соціальну тривожність.","З розумінням ставитися до того, що ваш друг не може потусуватися через соціальну тривожність."
amitheasshole,4.0,morality-ethics,care-harm,should,being understanding of other people's situations.,0.0,legal,1,розуміння ситуацій інших людей.,Розуміння ситуацій інших людей.,Розуміння ситуацій інших людей.
amitheasshole,4.0,social-norms,care-harm|fairness-cheating,it's rude,being unfriendly for no good reason.,-1.0,legal,0,бути недружнім без вагомої причини.,Без вагомої причини бути недружнім.,Без вагомої причини бути недружнім.
