area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label
rocstories,3.0,social-norms|advice,care-harm,it's good,being physically active as a child,1.0,legal,2
rocstories,4.0,,care-harm,it's good,being physically active.,1.0,legal,2
dearabby,3.0,social-norms|description,care-harm|fairness-cheating|loyalty-betrayal,It's allowed,being pissed at someone who uses something you've done as an excuse doing something to hurt you.,0.0,legal,1
amitheasshole,3.0,social-norms,care-harm,It's ok,being playful with your significant other.,0.0,legal,1
dearabby,4.0,social-norms,care-harm,should,being polite if you need to decline a gift,1.0,legal,2
amitheasshole,3.0,morality-ethics|social-norms,care-harm,You should,being polite to other people.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm|authority-subversion,expected,being polite to your customers.,0.0,legal,1
confessions,3.0,social-norms|advice,care-harm|fairness-cheating,it is expected,being polite to your neighbors,0.0,legal,1
rocstories,3.0,social-norms,care-harm,should,being polite when you run into someone you know.,1.0,legal,2
amitheasshole,3.0,social-norms|advice,care-harm,It is important,being polite with your partner's family.,0.0,legal,1
confessions,3.0,social-norms,care-harm,it's good,being polite.,1.0,legal,2
amitheasshole,3.0,advice,care-harm,should,being positive with someone that is struggling with their weight.,0.0,legal,1
dearabby,3.0,description,care-harm|authority-subversion,it's mean,being possessive in a relationship.,-1.0,legal,0
dearabby,3.0,advice,care-harm,It's important,being practical during exercise.,0.0,legal,1
amitheasshole,3.0,advice,care-harm,it's good,being preemptive in situations that make you uncomfortable.,0.0,legal,1
rocstories,4.0,advice,care-harm,it's good,being prepared,0.0,legal,1
rocstories,4.0,advice,care-harm,You should,being prepared before you go camping,0.0,legal,1
rocstories,3.0,advice,care-harm,It's good,being prepared for any situation by keeping important things with you.,1.0,legal,2
rocstories,3.0,social-norms|advice,care-harm,It's good,being prepared for bad weather.,0.0,legal,1
rocstories,4.0,social-norms|advice,care-harm,it is wise,being prepared for emergencies.,2.0,legal,2
rocstories,4.0,advice,care-harm,should,being prepared for tests you take.,0.0,legal,1
rocstories,3.0,advice,care-harm|sanctity-degradation,It's good,being prepared for things.,0.0,legal,1
rocstories,4.0,social-norms|advice,care-harm|authority-subversion,It's good,being prepared for your wedding.,1.0,legal,2
rocstories,3.0,advice,care-harm,it's good,being prepared in case of an emergency.,0.0,legal,1
dearabby,3.0,morality-ethics|social-norms,care-harm,should,being prepared to let your daughter move on after she gets married.,0.0,legal,1
rocstories,3.0,advice,care-harm,need to,being prepared when doing something important,0.0,legal,1
rocstories,3.0,advice,care-harm,it's good,being prepared whenever you take a trip.,1.0,legal,2
rocstories,4.0,advice,care-harm,should,being prepared.,0.0,legal,1
rocstories,3.0,description,care-harm,It's okay,being prideful of what you have done.,0.0,legal,1
rocstories,3.0,social-norms|advice,care-harm,it's good,being proactive and observant of any changes in your eyesight.,1.0,legal,2
confessions,3.0,morality-ethics,care-harm,should,being proactive in ending a relationship that is not likely to end well,1.0,legal,2
rocstories,4.0,advice,care-harm,it's good,being proactive when it comes to your health.,0.0,legal,1
dearabby,4.0,advice,care-harm,It's good,being proactive with your health.,0.0,legal,1
amitheasshole,4.0,description,care-harm,you should,being professional with your patients as a doctor,0.0,legal,1
amitheasshole,4.0,social-norms|description,care-harm,It's okay,being protective of a significant other.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,It is okay,being protective of your belongings.,0.0,legal,1
dearabby,3.0,morality-ethics,care-harm|authority-subversion,It's understandable,being protective of your children.,0.0,legal,1
amitheasshole,3.0,description,care-harm,It is okay,being protective of your possessions.,0.0,legal,1
amitheasshole,3.0,description,care-harm,It is okay,being protective over your belongings.,0.0,legal,1
rocstories,3.0,description,care-harm,It's good,being proud about your parents.,1.0,legal,2
confessions,3.0,social-norms,care-harm,shouldn't,being proud of being a pothead.,-1.0,legal,0
rocstories,3.0,advice,care-harm,it is good,being proud of children.,1.0,legal,2
confessions,3.0,morality-ethics,care-harm,It's wrong,being proud of hurting people.,-1.0,legal,0
rocstories,3.0,advice,care-harm,It's fine,being proud of improving yourself.,0.0,legal,1
confessions,3.0,description,care-harm,It's fine,being proud of one's body shape.,0.0,legal,1
rocstories,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It is okay,being proud of weight loss.,0.0,legal,1
confessions,4.0,advice,care-harm,good,being proud of your accomplishments.,1.0,legal,2
dearabby,3.0,morality-ethics,care-harm,it's good,being proud of your children.,1.0,legal,2
confessions,3.0,social-norms,care-harm|loyalty-betrayal,it's good,being proud of your ex.,1.0,legal,2
dearabby,3.0,morality-ethics|social-norms,care-harm,It's okay,being proud of your hard work.,0.0,legal,1
rocstories,3.0,description,care-harm,it's okay,being proud of your possessions.,0.0,legal,1
dearabby,3.0,social-norms,care-harm,shouldn't because it's rude,being pushy to people,-1.0,legal,0
dearabby,3.0,morality-ethics|advice,care-harm,It's wrong,being pushy toward someone.,-1.0,legal,0
amitheasshole,3.0,morality-ethics,care-harm,wrong,being racist,-1.0,legal,0
rocstories,4.0,advice,care-harm,It's important,being rational about your future when you consider marrying someone,0.0,legal,1
confessions,3.0,advice,care-harm,it is good,being ready,0.0,legal,1
rocstories,3.0,advice,care-harm,It's okay,being relieved when finding someone to pet-sit while you're away.,1.0,legal,2
rocstories,4.0,morality-ethics,care-harm,It's understandable,being relieved when you don't lose a patient.,0.0,legal,1
confessions,3.0,morality-ethics|advice,care-harm,It is good,being remorseful and admitting when you've done wrong,1.0,legal,2
rocstories,3.0,advice,care-harm,It's good,being resourceful when you don't have a first aid kit when you're injured.,0.0,legal,1
rocstories,3.0,morality-ethics,care-harm,You should,being respectful of all living things.,0.0,legal,1
amitheasshole,4.0,morality-ethics|advice,care-harm|fairness-cheating,should,being respectful of other people's budgets.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm|authority-subversion,It is important,being respectful of other people.,1.0,legal,2
dearabby,3.0,morality-ethics|social-norms,care-harm,it's good,being respectful of others around you when on the phone.,1.0,legal,2
amitheasshole,3.0,advice,care-harm,should,being respectful of others with mental disorders.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,it's expected,being respectful of people with disabilities.,0.0,legal,1
amitheasshole,3.0,social-norms,care-harm,expected,being respectful of regular customers.,1.0,legal,2
confessions,4.0,social-norms,care-harm,should,being respectful of someone's alone time.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,People in an office should,being respectful of their coworkers.,0.0,legal,1
amitheasshole,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,You should,being respectful of your partner's time.,0.0,legal,1
rocstories,4.0,morality-ethics,care-harm,You should,being respectful of your teammates.,0.0,legal,1
rocstories,3.0,advice,care-harm,you should,being respectful to teachers.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,should,being respectful to your parents.,1.0,legal,2
amitheasshole,3.0,advice,care-harm,should,being respectful when giving criticism.,0.0,legal,1
dearabby,3.0,social-norms|advice,care-harm,You should,being respectful when you are negotiating the terms of a divorce.,0.0,legal,1
dearabby,3.0,social-norms,care-harm|fairness-cheating,should,being respectful when you are splitting your assets in a divorce.,1.0,legal,2
rocstories,3.0,social-norms,care-harm,You should,being respectful when you laugh about something,0.0,legal,1
confessions,3.0,social-norms,care-harm|loyalty-betrayal,should,being respectful when your step-grandparent dies,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,should,being responsible for what they break,0.0,legal,1
dearabby,4.0,advice,care-harm,It's good,being responsible for yourself.,1.0,legal,2
rocstories,4.0,social-norms|advice,care-harm,It's good,being responsible.,0.0,legal,1
rocstories,3.0,advice,care-harm,shouldn't,being risky with money.,-1.0,legal,0
dearabby,3.0,morality-ethics|description,care-harm|loyalty-betrayal,it's okay,being rough when it consensual,0.0,legal,1
amitheasshole,3.0,morality-ethics|social-norms,care-harm,It's not okay,being rude to a family members significant other,-1.0,legal,0
amitheasshole,3.0,social-norms,care-harm|loyalty-betrayal,it's not okay,being rude to family member's significant others,-1.0,legal,0
amitheasshole,3.0,social-norms,care-harm|loyalty-betrayal,wrong,being rude to family members at their wedding.,-1.0,legal,0
amitheasshole,4.0,social-norms,care-harm,should not,being rude to other people.,-1.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It is wrong,being rude to others,-1.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,it's wrong,being rude to people on public transportation.,-1.0,legal,0
confessions,3.0,morality-ethics,care-harm,it's wrong,being rude to people who like something that you don't.,-1.0,legal,0
amitheasshole,3.0,social-norms,care-harm,it's wrong,being rude to people you live with,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm,It's wrong,being rude to people.,-1.0,legal,0
rocstories,3.0,morality-ethics|social-norms,care-harm,It's not okay to,being rude to service employees,-1.0,legal,0
amitheasshole,3.0,social-norms,care-harm,not acceptable,being rude to service workers.,-1.0,legal,0
amitheasshole,3.0,morality-ethics,care-harm|fairness-cheating|loyalty-betrayal,it's wrong,being rude to someone for your own personal needs.,-1.0,legal,0
amitheasshole,3.0,social-norms,care-harm,it's wrong,being rude to someone involved with your ex.,-1.0,legal,0
confessions,3.0,morality-ethics|social-norms,care-harm,It's bad,being rude to someone to spite them for having been rude to you first.,-1.0,legal,0
amitheasshole,3.0,social-norms,care-harm,shouldn't,being rude to your siblings.,-1.0,legal,0
confessions,3.0,morality-ethics|social-norms,care-harm,shouldn't,being rude toward restaurant staff.,-1.0,legal,0
confessions,4.0,social-norms,care-harm,it's okay,being sad about death.,0.0,legal,1
rocstories,4.0,description,care-harm,it's understandable,being sad at the passing of a parent.,0.0,legal,1
confessions,4.0,description,care-harm,It is ok,being sad if someone who has cancer is going to die from it.,0.0,legal,1
rocstories,3.0,advice,care-harm,It's okay,being sad when illness makes normal activities harder to do.,0.0,legal,1
dearabby,3.0,advice,care-harm|loyalty-betrayal,It's okay,being sad when you don't get to see your spouse because of their work.,0.0,legal,1
confessions,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,it's okay,being sad when you fall in love with a catfish on the internet.,0.0,legal,1
rocstories,4.0,advice,care-harm|loyalty-betrayal,it's understandable,being sad when you fall out of love with your spouse.,0.0,legal,1
confessions,4.0,advice|description,care-harm,understandable,being sad when you feel alone.,0.0,legal,1
confessions,4.0,description,care-harm|loyalty-betrayal,it's okay,being sad when your kid hates you,0.0,legal,1
confessions,4.0,social-norms,care-harm,It's understandable,being sad when your partner breaks up with you after two years.,0.0,legal,1
confessions,4.0,advice,care-harm,It's okay,being sad when your partner has a crush on someone else.,0.0,legal,1
rocstories,4.0,advice,care-harm,better,being safe than sorry.,0.0,legal,1
dearabby,4.0,morality-ethics,care-harm,it's important,being safe when driving a vehicle.,1.0,legal,2
confessions,4.0,advice,care-harm,it's good,being safe when taking Uber or other ride sharing services.,1.0,legal,2
confessions,4.0,morality-ethics|advice,care-harm,You're encouraged,being safe when you're behind the wheel,0.0,legal,1
confessions,4.0,social-norms,care-harm|sanctity-degradation,should,being sanitary when using the bathroom.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,you shouldn't,being sarcastic and mean to your date.,-1.0,legal,0
rocstories,3.0,description,care-harm,it's okay,being satisfied with your appearance.,0.0,legal,1
confessions,4.0,description,care-harm,it is okay,being scared,0.0,,1
dearabby,4.0,social-norms,care-harm,You should,being scared for your child when you deliver them early.,0.0,legal,1
rocstories,4.0,description,care-harm,It's understandable,being scared of a stranger from an unfamiliar place.,0.0,legal,1
rocstories,3.0,social-norms,care-harm,understandable,being scared of an aggressive dog.,0.0,legal,1
confessions,3.0,morality-ethics,care-harm,it's wrong,being scared of gay people.,-2.0,legal,0
confessions,4.0,description,care-harm|loyalty-betrayal,It's understandable,being scared of people finding out about abuse,0.0,legal,1
confessions,4.0,social-norms|advice,care-harm|authority-subversion,shouldn't,being scared of people who have autism.,-1.0,legal,0
amitheasshole,3.0,description,care-harm,It's okay,being scared of someone's dog.,0.0,legal,1
confessions,3.0,social-norms,care-harm,It's normal,being scared sometimes,0.0,legal,1
rocstories,3.0,advice,care-harm,good,being self-confident.,1.0,legal,2
dearabby,4.0,morality-ethics,care-harm,It's wrong,being self-destructive.,-1.0,legal,0
rocstories,3.0,advice,care-harm,good,being self-sufficient at a young age.,1.0,legal,2
rocstories,4.0,advice,care-harm,It's good,being self-sufficient.,1.0,legal,2
rocstories,4.0,morality-ethics,care-harm,It's good,being selfless and do what is right,0.0,legal,1
amitheasshole,3.0,morality-ethics|social-norms,care-harm,It's wrong,being sexist against others.,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm|fairness-cheating,it's understandable,being sick of abusive families.,-1.0,legal,0
confessions,4.0,social-norms|advice,care-harm|loyalty-betrayal,it's okay,being single,0.0,legal,1
confessions,3.0,advice,care-harm,It's okay,being single.,0.0,legal,1
confessions,3.0,advice,care-harm,It's unhealthy,being so angry you're out of control,-1.0,legal,0
confessions,3.0,advice,care-harm,It is bad,being so clingy that you miss your kids when they are asleep.,0.0,legal,1
rocstories,4.0,social-norms,care-harm,It's understandable,being so excited about something that you wake your parents up.,0.0,legal,1
rocstories,3.0,advice,care-harm,shouldn't,being so relaxed forgetting about things.,-1.0,legal,0
confessions,3.0,morality-ethics,care-harm,Shouldn’t,being so uncaring about things.,-1.0,legal,0
confessions,3.0,social-norms,care-harm,good,being sober,1.0,legal,2
dearabby,3.0,social-norms|advice,care-harm,It's good,being sober.,0.0,tolerated,1
amitheasshole,4.0,social-norms,care-harm,expected,being sociable as a host.,0.0,legal,1
confessions,3.0,social-norms,care-harm,expected,being social and creating relationships with others,0.0,legal,1
confessions,3.0,social-norms,care-harm,It's okay,being socially nervous.,0.0,legal,1
rocstories,3.0,morality-ethics|social-norms,care-harm,It's good,being somewhere that helps others.,1.0,legal,2
rocstories,3.0,morality-ethics,care-harm,it's not okay,being somewhere where you could be bothered by pests.,-1.0,legal,0
rocstories,4.0,advice,care-harm|loyalty-betrayal,It's good,being soothed by your partner.,1.0,legal,2
amitheasshole,3.0,morality-ethics,care-harm,It is wrong,being spiteful,-2.0,legal,0
amitheasshole,3.0,social-norms,care-harm|loyalty-betrayal,it's understandable,being spiteful toward an ex.,0.0,legal,1
confessions,3.0,advice,care-harm,It's understandable,being stressed about losing your home.,0.0,legal,1
dearabby,3.0,advice|description,care-harm,It's understandable,being stressed over switching careers.,0.0,legal,1
confessions,4.0,description,care-harm,It's understandable,being stressed when you can't figure out what's going on with your health.,0.0,legal,1
confessions,3.0,description,care-harm,it's bad,being suicidal,-1.0,legal,0
amitheasshole,3.0,social-norms,care-harm,it is expected,being supportive after someones relative dies.,0.0,legal,1
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,should,being supportive of family.,1.0,legal,2
amitheasshole,3.0,morality-ethics,care-harm|loyalty-betrayal,It's good,being supportive of friends who are struggling.,1.0,legal,2
amitheasshole,3.0,morality-ethics,care-harm,you should,being supportive of people with mental issues.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,It is expected,being supportive of somebody else's attempts to not drink.,0.0,legal,1
rocstories,3.0,morality-ethics|advice,care-harm,should,being supportive of someone having a bad day,1.0,legal,2
confessions,4.0,morality-ethics,care-harm,It is kind,being supportive of someone that wants to better themselves.,1.0,legal,2
rocstories,3.0,advice,care-harm,should,being supportive of someone when they want to help the environment,0.0,legal,1
rocstories,3.0,morality-ethics,care-harm,You should,being supportive of someone who loses a loved one.,1.0,legal,2
amitheasshole,3.0,morality-ethics|advice,care-harm,It's good,being supportive of those who are depressed.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm,it's good,being supportive of your child's dreams.,1.0,legal,2
confessions,3.0,morality-ethics|social-norms,care-harm,should,being supportive of your friend when they nearly die.,0.0,legal,1
rocstories,3.0,social-norms|advice,care-harm|loyalty-betrayal,you should,being supportive of your friends when they are proud of their heritage.,0.0,legal,1
confessions,3.0,advice,care-harm|loyalty-betrayal,should,being supportive of your friends when they are struggling with an addiction.,0.0,legal,1
confessions,3.0,advice,care-harm,It's good,being supportive of your friends when they can't stop crying.,1.0,legal,2
amitheasshole,3.0,morality-ethics,care-harm|loyalty-betrayal,you should,being supportive of your friends.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm|fairness-cheating,good,being supportive of your partner going to rehab.,1.0,legal,2
amitheasshole,4.0,morality-ethics|advice,care-harm|loyalty-betrayal,you should,being supportive of your partner when they are going through a tough time.,2.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It's good,being supportive of your partner when they've lost a loved one.,1.0,legal,2
confessions,3.0,social-norms,care-harm,It's expected,being supportive of your partner's mental illness.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,should,being supportive of your partner.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,You should,being supportive of your pregnant significant other.,2.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,it's expected,being supportive of your significant other's sibling.,1.0,legal,2
confessions,4.0,morality-ethics,care-harm,should,being supportive of your sister when she's pregnant.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm|loyalty-betrayal,expected,being supportive of your spouse,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,You should,being supportive of your spouse when they are away for work.,0.0,legal,1
rocstories,3.0,advice,care-harm|authority-subversion,should,being supportive of your student when they learn very quickly.,1.0,legal,2
confessions,3.0,social-norms,care-harm,should,being supportive when someone has an amazing opportunity for change.,1.0,legal,2
dearabby,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,you should,being supportive when your friend is ill.,0.0,legal,1
dearabby,4.0,social-norms|advice,care-harm,It's important,being supportive when your spouse comes back from combat.,2.0,legal,2
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,You should,being supportive when your wife is pregnant,0.0,legal,1
amitheasshole,3.0,morality-ethics,care-harm,You shouldn't,being surprised if your friends distance themselves from you if you have autism.,0.0,legal,1
rocstories,3.0,social-norms,care-harm|loyalty-betrayal|authority-subversion,It's okay,being suspicious about people.,0.0,legal,1
dearabby,3.0,social-norms|advice,care-harm|loyalty-betrayal,You shouldn't,being suspicious of your partner.,-1.0,legal,0
amitheasshole,3.0,morality-ethics|social-norms,care-harm,You should,being sympathetic to other people.,1.0,legal,2
dearabby,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,should,being sympathetic toward your partner's problems.,0.0,legal,1
confessions,3.0,morality-ethics,care-harm,important,being sympathetic towards friends who are going through a rough time.,1.0,legal,2
confessions,3.0,advice,care-harm,People ought,being sympathetic towards those with mental illnesses.,0.0,legal,1
rocstories,3.0,advice,care-harm,It's okay,being terrified when presenting something in front of an audience.,0.0,legal,1
rocstories,4.0,social-norms|description,care-harm|loyalty-betrayal,You should,being thankful for friends that do nice things for your birthday.,1.0,legal,2
confessions,3.0,social-norms,care-harm,It is good,being thankful of the people in your life.,1.0,legal,2
confessions,3.0,description,care-harm,it is good,being thankful that you're alive after a close call.,1.0,legal,2
rocstories,4.0,morality-ethics,care-harm,it's good,being thankful to live in a happy home.,1.0,legal,2
rocstories,3.0,morality-ethics|social-norms,care-harm,It is good,being thankful when someone helps you.,1.0,legal,2
dearabby,3.0,description,care-harm,should,being thankful when they discover that someone's taken the effort to make something that was impossible now possible.,1.0,legal,2
confessions,4.0,advice,care-harm,You should,being thankful when your partner bakes for you.,0.0,legal,1
confessions,3.0,social-norms|description,care-harm,It's nice,being thankful.,1.0,legal,2
rocstories,3.0,morality-ethics,care-harm,bad,being the aggressor in a conflict.,-1.0,tolerated,0
confessions,4.0,morality-ethics,care-harm|authority-subversion,it's good,being the best kid you can be.,1.0,legal,2
amitheasshole,3.0,social-norms,care-harm|fairness-cheating,it is good,being the bigger person and not holding a grudge.,1.0,legal,2
amitheasshole,3.0,morality-ethics|advice,care-harm,It is better,being the bigger person and practice forgiveness.,1.0,legal,2
amitheasshole,3.0,advice,care-harm,It's good,being the bigger person when dealing with an ex.,1.0,legal,2
confessions,4.0,advice,care-harm,It's good,being the one working in a relationship so you can support your partner.,1.0,legal,2
confessions,3.0,description,care-harm,it is unnerving,being the target of a stalker.,-1.0,,0
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It is expected,being there for a family member that is dying.,2.0,legal,2
amitheasshole,3.0,advice,care-harm|loyalty-betrayal,you should,being there for family members that have drug problems.,0.0,legal,1
amitheasshole,3.0,morality-ethics,care-harm,should,being there for people during the holidays.,1.0,legal,2
amitheasshole,3.0,morality-ethics|social-norms,care-harm,You should,being there for people with mental issues.,1.0,legal,2
confessions,3.0,description,care-harm|loyalty-betrayal,It is good,being there for someone if they have terminal cancer,1.0,legal,2
amitheasshole,3.0,morality-ethics|social-norms,care-harm,should,being there for someone that is depressed.,0.0,legal,1
amitheasshole,3.0,morality-ethics,care-harm|loyalty-betrayal,you should,being there for someone that is sick,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,It is nice,being there for someone to support them.,1.0,legal,2
confessions,4.0,morality-ethics,care-harm,It is good,being there for someone who is at risk of self harm.,2.0,legal,2
rocstories,4.0,morality-ethics|social-norms,care-harm,It's kind,being there for someone who is having a hard time,1.0,legal,2
confessions,4.0,advice,care-harm,it's good,being there for someone who is suffering emotionally.,2.0,legal,2
amitheasshole,3.0,morality-ethics,care-harm,should,being there for the people you care about when they are not feeling well.,0.0,legal,1
confessions,4.0,social-norms,care-harm|loyalty-betrayal,It's good,being there for your church members.,1.0,legal,2
confessions,3.0,morality-ethics,care-harm,You should always,being there for your friend when they are having mental problems.,1.0,legal,2
confessions,4.0,social-norms,care-harm|loyalty-betrayal,It's good,being there for your friend when they are having problems,2.0,legal,2
confessions,4.0,morality-ethics,care-harm,should,being there for your friends if they are dying.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,good,being there for your friends when they are grieving a family member.,1.0,legal,2
amitheasshole,3.0,morality-ethics,care-harm,should,being there for your friends when they are having mental issues.,2.0,legal,2
dearabby,3.0,morality-ethics,care-harm,good,being there for your friends when they have a problem.,1.0,legal,2
confessions,3.0,morality-ethics|social-norms,care-harm,It's good,being there for your friends when they have medical issues.,1.0,legal,2
confessions,3.0,,care-harm|loyalty-betrayal,it's good,being there for your partner when they are earning their education.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,it is expected,being there for your partner when they are having a hard time.,2.0,legal,2
confessions,4.0,advice,care-harm,should,being there to comfort your pet when they're scared.,0.0,legal,1
rocstories,3.0,social-norms,care-harm,It's expected,being there to support your child.,0.0,legal,1
rocstories,3.0,morality-ethics,care-harm,good,being thoughtful of others.,2.0,legal,2
rocstories,3.0,social-norms|advice,care-harm,It's good,being thrifty.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm|fairness-cheating,It's cheap,being tolerant of other people's ideals.,0.0,legal,1
amitheasshole,3.0,social-norms,care-harm,it's discouraged,being too bluntly honest.,-1.0,legal,0
confessions,3.0,advice,care-harm,you shouldn't,being too cocky,-1.0,legal,0
confessions,4.0,advice,care-harm,it's unwise,being too hard on yourself,-1.0,legal,0
confessions,3.0,advice,care-harm,shouldn't,being too hard on yourself when you mess something up,-1.0,legal,0
confessions,4.0,advice,care-harm,bad,being too hard on yourself.,-1.0,legal,0
confessions,3.0,social-norms|advice,care-harm,it's bad,being too overweight.,-1.0,legal,0
rocstories,3.0,morality-ethics|advice,care-harm,It's smart,being too tired to drive and asking someone else to take over,0.0,legal,1
confessions,3.0,advice,care-harm,shouldn't,being torn up over someone else's problems.,0.0,legal,1
dearabby,4.0,social-norms,care-harm|loyalty-betrayal,It's understandable,being traumatized when you catch your husband with your brother in bed.,0.0,tolerated,1
confessions,3.0,advice,care-harm,It is good,being true to yourself and your identity.,1.0,legal,2
amitheasshole,4.0,advice,care-harm,It's good,being true to yourself.,1.0,legal,2
dearabby,3.0,social-norms|advice,care-harm|authority-subversion,You should always,being truthful to your parents so they don't mistrust you.,2.0,legal,2
confessions,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's understandable,being unable to let someone go.,0.0,legal,1
confessions,4.0,social-norms|description,care-harm|loyalty-betrayal,It's frustrating,being unable to reciprocate someone's affection.,-1.0,legal,0
confessions,3.0,social-norms,care-harm|loyalty-betrayal,It's bad,being unaccepting of your partner,-1.0,legal,0
amitheasshole,3.0,social-norms,care-harm,it's rude,being unappreciative of a gift someone gave you.,-1.0,legal,0
confessions,4.0,advice,care-harm,okay,being uncertain of social conventions.,0.0,legal,1
amitheasshole,3.0,social-norms,care-harm,It is understandable,being uncomfortable around disabled people.,0.0,legal,1
dearabby,4.0,description,care-harm,It is understandable,being uncomfortable in excessive heat.,0.0,legal,1
confessions,3.0,social-norms,care-harm|authority-subversion,okay,being uncomfortable talking to people you think are attractive.,0.0,legal,1
confessions,4.0,social-norms,care-harm|sanctity-degradation,It's okay,being uncomfortable when someone masturbates while talking to you.,0.0,legal,1
confessions,3.0,description,care-harm,it's okay,being uncomfortable with potential confrontation,0.0,legal,1
amitheasshole,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It is okay,being uncomfortable with someone else's grief.,0.0,legal,1
dearabby,3.0,morality-ethics,care-harm,It is okay,being uncomfortable with your partner's past,0.0,legal,1
amitheasshole,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,should,being understanding and supportive of your friends.,1.0,legal,2
amitheasshole,4.0,morality-ethics|advice,care-harm,it is good,being understanding if your friend can't hangout due to social anxiety.,1.0,legal,2
dearabby,3.0,social-norms|advice,care-harm,it's desirable,being understanding in communications with those who speak English as a second language.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,should,being understanding of other people's situations.,0.0,legal,1
amitheasshole,3.0,morality-ethics|advice,care-harm,you should,being understanding of people's problems.,0.0,legal,1
amitheasshole,3.0,advice,care-harm,Endeavoring to,being understanding of the problems of others.,1.0,legal,2
amitheasshole,3.0,advice,care-harm,You should,being understanding of your significant other's situation.,0.0,legal,1
amitheasshole,3.0,morality-ethics|social-norms,care-harm|fairness-cheating,You should,being understanding when people are having a hardship.,0.0,legal,1
confessions,3.0,social-norms,care-harm,It is good,being understanding.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm|fairness-cheating,it's rude,being unfriendly for no good reason.,-1.0,legal,0
confessions,3.0,advice,care-harm,It's bad,being unhappy in a relationship.,-1.0,legal,0
dearabby,3.0,morality-ethics,care-harm,it's bad,being unhelpful and pushing someone to do something.,-1.0,legal,0
confessions,3.0,advice,care-harm,it is bad,being unsanitary,-1.0,legal,0
confessions,3.0,description,care-harm,it's fine,being unsure about your feelings for others.,0.0,legal,1
rocstories,3.0,advice,care-harm,It's understandable,being unsure what to get someone as a gift.,0.0,legal,1
dearabby,3.0,morality-ethics|advice,care-harm|sanctity-degradation,shouldn't,being unwelcoming to your significant other's family.,-2.0,legal,0
rocstories,3.0,advice,care-harm,good,being up and about and not being lazy.,1.0,legal,2
rocstories,3.0,social-norms,care-harm,Shouldn't,being up and about when you're sick.,-1.0,legal,0
amitheasshole,4.0,description,care-harm,It is okay,being upset after being scolded.,0.0,legal,1
amitheasshole,3.0,advice,care-harm,It is bad,being upset at someone for caring,-1.0,legal,0
amitheasshole,3.0,morality-ethics,care-harm,it's unfair,being upset at someone for something they can't afford,-1.0,legal,0
amitheasshole,3.0,social-norms,care-harm|loyalty-betrayal,It is appropriate,being upset at your neighbor if they call the police on you.,0.0,legal,1
amitheasshole,3.0,advice,care-harm,it's okay,being upset at your parents.,0.0,legal,1
amitheasshole,4.0,description,care-harm,It is understandable,being upset if a friend says you are not good at something you care about doing.,0.0,legal,1
rocstories,4.0,description,care-harm,It is okay,being upset if someone assaults you.,0.0,legal,1
amitheasshole,3.0,morality-ethics|description,care-harm|fairness-cheating,It is expected,being upset if someone excluded you because you have special needs.,0.0,legal,1
