area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion|sanctity-degradation,you shouldn't,being in a library if you're going to be noisy.,-1.0,tolerated,0
amitheasshole,4.0,social-norms,care-harm,it's good,being in a relationship where you are safe to ask for things.,1.0,legal,2
dearabby,4.0,description,care-harm,it's bad,being in an accident.,-1.0,legal,0
confessions,4.0,advice,care-harm,it's expected,being in happy and functional relationship,0.0,legal,1
rocstories,4.0,description,care-harm|sanctity-degradation,It's okay,being in pain when you get hot coffee poured on you.,0.0,legal,1
confessions,4.0,advice,care-harm,It's good,being in touch with your feelings,1.0,legal,2
rocstories,4.0,advice,care-harm,It's not ok,being inattentive when pouring.,-1.0,legal,0
amitheasshole,4.0,advice,care-harm,shouldn't,being inconsiderate to your partner.,-1.0,legal,0
confessions,4.0,advice,care-harm,It is good,being independent and self sufficient,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,It is rude,being insulting to others.,-2.0,legal,0
dearabby,4.0,morality-ethics|social-norms,care-harm|authority-subversion|sanctity-degradation,It's bad,being intoxicated when using dangerous weapons.,-1.0,illegal,0
dearabby,4.0,social-norms,care-harm|authority-subversion,it's good,being involved with your child even if you didn't plan on having them,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,it's unacceptable,being irresponsible with animals.,-2.0,legal,0
rocstories,4.0,description,care-harm|sanctity-degradation,allowed,being irritated when you have to clean up dog shit.,0.0,legal,1
confessions,4.0,advice,care-harm|loyalty-betrayal,It's unhealthy,being jealous of other people,-1.0,legal,0
rocstories,4.0,morality-ethics,care-harm,should,being kind,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,it's expected,being kind and generous to each other.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's good,being kind and understanding.,1.0,legal,2
rocstories,4.0,morality-ethics,care-harm,It's good,being kind to animals and people.,1.0,legal,2
rocstories,4.0,advice,care-harm,It's good,being kind to others,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,People should,being kind to others.,1.0,legal,2
dearabby,4.0,morality-ethics|social-norms,care-harm,It's good,being kind to people.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,should,being kind to someone even when you don't understand or approve of their life choices,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm|authority-subversion,should,being kind to your children,0.0,legal,1
dearabby,4.0,morality-ethics,care-harm,You should,being kind to your loved ones.,0.0,legal,1
amitheasshole,4.0,morality-ethics|social-norms,care-harm,it's good,being kind to your neighbor.,1.0,legal,2
confessions,4.0,morality-ethics|description,care-harm|sanctity-degradation,It's wrong,being lazy and not even making an effort anymore.,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm,It's wrong to,being lazy.,-1.0,legal,0
confessions,4.0,advice,care-harm,You shouldn't,being like your siblings when they are bad influences,-1.0,tolerated,0
amitheasshole,4.0,description,care-harm,It's understandable,being lonely while your spouse is working overseas.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm|fairness-cheating,It's rude,being loud around others.,-1.0,legal,0
dearabby,4.0,social-norms,care-harm,It is rude,being loud in public and disrupting others.,-1.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's reasonable,being mad at a parent.,0.0,legal,1
confessions,4.0,description,care-harm|loyalty-betrayal,It is good,being married to one you love,1.0,legal,2
rocstories,4.0,morality-ethics|social-norms,care-harm,You should not,being mean to other people,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,it's wrong,being mean to people that are in a situation that they can't help.,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,shouldn't,being mean.,-1.0,legal,0
amitheasshole,4.0,social-norms|advice,care-harm|fairness-cheating,You should,being mindful of your stress levels when you take on another obligation.,1.0,legal,2
rocstories,4.0,advice,care-harm,you should,"being mindful when you're using equipment that could be dangerous, like a car or an oven",0.0,legal,1
amitheasshole,4.0,social-norms,care-harm|fairness-cheating,You should,being more careful at the gym.,0.0,legal,1
rocstories,4.0,advice,care-harm,need to,being naked to shower.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,shouldn't,being negligent to the point of causing damage to someone else's property.,-1.0,illegal,0
rocstories,4.0,advice,care-harm,It's OK,being nervous about a new baby,0.0,legal,1
rocstories,4.0,morality-ethics|social-norms,care-harm|authority-subversion,it's ok,being nervous about going to the doctor.,0.0,legal,1
dearabby,4.0,description,care-harm,It's ok,being nervous about having sex again after being widowed,0.0,legal,1
rocstories,4.0,description,care-harm,It's understandable,being nervous when you take your driver's license test,0.0,legal,1
dearabby,4.0,social-norms,care-harm,should,being nice and respectful to your party host.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You should,being nice in messages to your teachers.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm,is good,being nice to others.,1.0,legal,2
rocstories,4.0,social-norms|advice,care-harm,You should,being nice to your neighbors.,1.0,legal,2
rocstories,4.0,morality-ethics,care-harm,it's good,being nice to your parents.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,You shouldn't,being noisy around your roommates.,-1.0,legal,0
rocstories,4.0,advice,care-harm,It's good,being observant of your surroundings.,0.0,legal,1
confessions,4.0,social-norms,care-harm,it's understandable,being offended when someone calls you disgusting and crazy.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm,It's fine,being offended when someone is an asshole to you,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,it's okay,being offended when someone is shouting at you.,0.0,legal,1
rocstories,4.0,description,care-harm|loyalty-betrayal,it's understandable,being offended when someone is trying to get rid of you.,0.0,,1
confessions,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,It's fine,being offended when someone isn't upset by their racism.,0.0,legal,1
rocstories,4.0,description,care-harm,It's understandable,being offended when your friend belittles you,0.0,legal,1
dearabby,4.0,description,care-harm,It's understandable,being overwhelmed by the loss of a loved one.,0.0,legal,1
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It is important,being part of your child's life.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,It is rude,being passive aggressive.,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,It's kind,being patient and forgiving with your loved ones.,1.0,legal,2
rocstories,4.0,social-norms,care-harm|loyalty-betrayal,you should,being patient and wait when someone is going to pick you up.,0.0,legal,1
amitheasshole,4.0,advice,care-harm,should,being patient if someone is having trouble finding something.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,should,being patient with other people.,0.0,legal,1
amitheasshole,4.0,social-norms|advice,care-harm|fairness-cheating,It's good,being patient.,2.0,legal,2
confessions,4.0,social-norms|advice,care-harm,You shouldn't,being pessimistic about life.,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm|fairness-cheating,It is bad,being petty with friends,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm,It is wrong,being petty.,-1.0,legal,0
rocstories,4.0,,care-harm,it's good,being physically active.,1.0,legal,2
dearabby,4.0,social-norms,care-harm,should,being polite if you need to decline a gift,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm|authority-subversion,expected,being polite to your customers.,0.0,legal,1
rocstories,4.0,advice,care-harm,it's good,being prepared,0.0,legal,1
rocstories,4.0,advice,care-harm,You should,being prepared before you go camping,0.0,legal,1
rocstories,4.0,social-norms|advice,care-harm,it is wise,being prepared for emergencies.,2.0,legal,2
rocstories,4.0,advice,care-harm,should,being prepared for tests you take.,0.0,legal,1
rocstories,4.0,social-norms|advice,care-harm|authority-subversion,It's good,being prepared for your wedding.,1.0,legal,2
rocstories,4.0,advice,care-harm,should,being prepared.,0.0,legal,1
rocstories,4.0,advice,care-harm,it's good,being proactive when it comes to your health.,0.0,legal,1
dearabby,4.0,advice,care-harm,It's good,being proactive with your health.,0.0,legal,1
amitheasshole,4.0,description,care-harm,you should,being professional with your patients as a doctor,0.0,legal,1
amitheasshole,4.0,social-norms|description,care-harm,It's okay,being protective of a significant other.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,It is okay,being protective of your belongings.,0.0,legal,1
rocstories,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It is okay,being proud of weight loss.,0.0,legal,1
confessions,4.0,advice,care-harm,good,being proud of your accomplishments.,1.0,legal,2
rocstories,4.0,advice,care-harm,It's important,being rational about your future when you consider marrying someone,0.0,legal,1
rocstories,4.0,morality-ethics,care-harm,It's understandable,being relieved when you don't lose a patient.,0.0,legal,1
amitheasshole,4.0,morality-ethics|advice,care-harm|fairness-cheating,should,being respectful of other people's budgets.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm|authority-subversion,It is important,being respectful of other people.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,it's expected,being respectful of people with disabilities.,0.0,legal,1
confessions,4.0,social-norms,care-harm,should,being respectful of someone's alone time.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,People in an office should,being respectful of their coworkers.,0.0,legal,1
rocstories,4.0,morality-ethics,care-harm,You should,being respectful of your teammates.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,should,being respectful to your parents.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,should,being responsible for what they break,0.0,legal,1
dearabby,4.0,advice,care-harm,It's good,being responsible for yourself.,1.0,legal,2
rocstories,4.0,social-norms|advice,care-harm,It's good,being responsible.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,should not,being rude to other people.,-1.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It is wrong,being rude to others,-1.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,it's wrong,being rude to people on public transportation.,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm,It's wrong,being rude to people.,-1.0,legal,0
confessions,4.0,social-norms,care-harm,it's okay,being sad about death.,0.0,legal,1
rocstories,4.0,description,care-harm,it's understandable,being sad at the passing of a parent.,0.0,legal,1
confessions,4.0,description,care-harm,It is ok,being sad if someone who has cancer is going to die from it.,0.0,legal,1
rocstories,4.0,advice,care-harm|loyalty-betrayal,it's understandable,being sad when you fall out of love with your spouse.,0.0,legal,1
confessions,4.0,advice|description,care-harm,understandable,being sad when you feel alone.,0.0,legal,1
confessions,4.0,description,care-harm|loyalty-betrayal,it's okay,being sad when your kid hates you,0.0,legal,1
confessions,4.0,social-norms,care-harm,It's understandable,being sad when your partner breaks up with you after two years.,0.0,legal,1
confessions,4.0,advice,care-harm,It's okay,being sad when your partner has a crush on someone else.,0.0,legal,1
rocstories,4.0,advice,care-harm,better,being safe than sorry.,0.0,legal,1
dearabby,4.0,morality-ethics,care-harm,it's important,being safe when driving a vehicle.,1.0,legal,2
confessions,4.0,advice,care-harm,it's good,being safe when taking Uber or other ride sharing services.,1.0,legal,2
confessions,4.0,morality-ethics|advice,care-harm,You're encouraged,being safe when you're behind the wheel,0.0,legal,1
confessions,4.0,social-norms,care-harm|sanctity-degradation,should,being sanitary when using the bathroom.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,you shouldn't,being sarcastic and mean to your date.,-1.0,legal,0
confessions,4.0,description,care-harm,it is okay,being scared,0.0,,1
dearabby,4.0,social-norms,care-harm,You should,being scared for your child when you deliver them early.,0.0,legal,1
rocstories,4.0,description,care-harm,It's understandable,being scared of a stranger from an unfamiliar place.,0.0,legal,1
confessions,4.0,description,care-harm|loyalty-betrayal,It's understandable,being scared of people finding out about abuse,0.0,legal,1
confessions,4.0,social-norms|advice,care-harm|authority-subversion,shouldn't,being scared of people who have autism.,-1.0,legal,0
dearabby,4.0,morality-ethics,care-harm,It's wrong,being self-destructive.,-1.0,legal,0
rocstories,4.0,advice,care-harm,It's good,being self-sufficient.,1.0,legal,2
rocstories,4.0,morality-ethics,care-harm,It's good,being selfless and do what is right,0.0,legal,1
confessions,4.0,morality-ethics,care-harm|fairness-cheating,it's understandable,being sick of abusive families.,-1.0,legal,0
confessions,4.0,social-norms|advice,care-harm|loyalty-betrayal,it's okay,being single,0.0,legal,1
rocstories,4.0,social-norms,care-harm,It's understandable,being so excited about something that you wake your parents up.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,expected,being sociable as a host.,0.0,legal,1
rocstories,4.0,advice,care-harm|loyalty-betrayal,It's good,being soothed by your partner.,1.0,legal,2
confessions,4.0,description,care-harm,It's understandable,being stressed when you can't figure out what's going on with your health.,0.0,legal,1
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,should,being supportive of family.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,It is expected,being supportive of somebody else's attempts to not drink.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm,It is kind,being supportive of someone that wants to better themselves.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm,it's good,being supportive of your child's dreams.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm|fairness-cheating,good,being supportive of your partner going to rehab.,1.0,legal,2
amitheasshole,4.0,morality-ethics|advice,care-harm|loyalty-betrayal,you should,being supportive of your partner when they are going through a tough time.,2.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It's good,being supportive of your partner when they've lost a loved one.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,should,being supportive of your partner.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,You should,being supportive of your pregnant significant other.,2.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,it's expected,being supportive of your significant other's sibling.,1.0,legal,2
confessions,4.0,morality-ethics,care-harm,should,being supportive of your sister when she's pregnant.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm|loyalty-betrayal,expected,being supportive of your spouse,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,You should,being supportive of your spouse when they are away for work.,0.0,legal,1
dearabby,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,you should,being supportive when your friend is ill.,0.0,legal,1
dearabby,4.0,social-norms|advice,care-harm,It's important,being supportive when your spouse comes back from combat.,2.0,legal,2
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,You should,being supportive when your wife is pregnant,0.0,legal,1
rocstories,4.0,social-norms|description,care-harm|loyalty-betrayal,You should,being thankful for friends that do nice things for your birthday.,1.0,legal,2
rocstories,4.0,morality-ethics,care-harm,it's good,being thankful to live in a happy home.,1.0,legal,2
confessions,4.0,advice,care-harm,You should,being thankful when your partner bakes for you.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm|authority-subversion,it's good,being the best kid you can be.,1.0,legal,2
confessions,4.0,advice,care-harm,It's good,being the one working in a relationship so you can support your partner.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It is expected,being there for a family member that is dying.,2.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,It is nice,being there for someone to support them.,1.0,legal,2
confessions,4.0,morality-ethics,care-harm,It is good,being there for someone who is at risk of self harm.,2.0,legal,2
rocstories,4.0,morality-ethics|social-norms,care-harm,It's kind,being there for someone who is having a hard time,1.0,legal,2
confessions,4.0,advice,care-harm,it's good,being there for someone who is suffering emotionally.,2.0,legal,2
confessions,4.0,social-norms,care-harm|loyalty-betrayal,It's good,being there for your church members.,1.0,legal,2
confessions,4.0,social-norms,care-harm|loyalty-betrayal,It's good,being there for your friend when they are having problems,2.0,legal,2
confessions,4.0,morality-ethics,care-harm,should,being there for your friends if they are dying.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,good,being there for your friends when they are grieving a family member.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,it is expected,being there for your partner when they are having a hard time.,2.0,legal,2
confessions,4.0,advice,care-harm,should,being there to comfort your pet when they're scared.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm|fairness-cheating,It's cheap,being tolerant of other people's ideals.,0.0,legal,1
confessions,4.0,advice,care-harm,it's unwise,being too hard on yourself,-1.0,legal,0
confessions,4.0,advice,care-harm,bad,being too hard on yourself.,-1.0,legal,0
dearabby,4.0,social-norms,care-harm|loyalty-betrayal,It's understandable,being traumatized when you catch your husband with your brother in bed.,0.0,tolerated,1
amitheasshole,4.0,advice,care-harm,It's good,being true to yourself.,1.0,legal,2
confessions,4.0,social-norms|description,care-harm|loyalty-betrayal,It's frustrating,being unable to reciprocate someone's affection.,-1.0,legal,0
confessions,4.0,advice,care-harm,okay,being uncertain of social conventions.,0.0,legal,1
dearabby,4.0,description,care-harm,It is understandable,being uncomfortable in excessive heat.,0.0,legal,1
confessions,4.0,social-norms,care-harm|sanctity-degradation,It's okay,being uncomfortable when someone masturbates while talking to you.,0.0,legal,1
amitheasshole,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It is okay,being uncomfortable with someone else's grief.,0.0,legal,1
amitheasshole,4.0,morality-ethics|advice,care-harm,it is good,being understanding if your friend can't hangout due to social anxiety.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,should,being understanding of other people's situations.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm|fairness-cheating,it's rude,being unfriendly for no good reason.,-1.0,legal,0
amitheasshole,4.0,description,care-harm,It is okay,being upset after being scolded.,0.0,legal,1
amitheasshole,4.0,description,care-harm,It is understandable,being upset if a friend says you are not good at something you care about doing.,0.0,legal,1
rocstories,4.0,description,care-harm,It is okay,being upset if someone assaults you.,0.0,legal,1
amitheasshole,4.0,description,care-harm|loyalty-betrayal,It's understandable,being upset loved ones think we deserve a horrible afterlife.,0.0,legal,1
amitheasshole,4.0,description,care-harm|authority-subversion,It's reasonable,being upset that a parent is hiding a cancer diagnosis.,0.0,legal,1
rocstories,4.0,social-norms|description,care-harm|loyalty-betrayal|authority-subversion,It's okay,being upset when the person you've paid to watch your animals fails to take care of them.,0.0,legal,1
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's understandable,being upset when there's a risk of harm to someone you love.,0.0,legal,1
dearabby,4.0,social-norms|description,care-harm,It is okay,being upset when your boss yells at you,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,It's okay,being upset with others and expressing it respectfully.,1.0,legal,2
amitheasshole,4.0,description,care-harm|loyalty-betrayal,It's okay,being upset with your partner's relationship with their ex.,0.0,legal,1
rocstories,4.0,morality-ethics|advice,care-harm,It's good,being very happy.,1.0,legal,2
amitheasshole,4.0,advice,care-harm,It's okay,being wary of people with a nasty temper.,0.0,legal,1
dearabby,4.0,advice,care-harm,ok,being weary about a job applicant's past.,0.0,legal,1
rocstories,4.0,advice,care-harm|authority-subversion,You should,being well prepared for the projects you're expecting to undertake.,1.0,legal,2
confessions,4.0,description,care-harm,It's nice,being wished luck.,1.0,legal,2
confessions,4.0,advice,care-harm,shouldn't,being with a partner that ignores you.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,shouldn't,being with someone that lies to you.,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,shouldn't,being with someone who cheats on you.,-1.0,legal,0
confessions,4.0,advice,care-harm,shouldn't,being with someone who hurts you.,-1.0,legal,0
amitheasshole,4.0,advice,care-harm,You shouldn't,being with someone who judges you based on your looks alone.,-1.0,legal,0
amitheasshole,4.0,advice,care-harm|loyalty-betrayal,You shouldn't,being with someone who puts their friends ahead of your relationship.,-1.0,legal,0
confessions,4.0,advice,care-harm,It is good,being with someone you like.,0.0,legal,1
dearabby,4.0,advice|description,care-harm|loyalty-betrayal,It is good,being with someone you love,1.0,legal,2
confessions,4.0,social-norms|advice,care-harm|loyalty-betrayal,it's good,being with someone you love.,1.0,legal,2
confessions,4.0,description,care-harm,It's understandable,being worried about dying.,0.0,legal,1
rocstories,4.0,morality-ethics,care-harm,It's okay,being worried about your spouse when they're exhausted.,0.0,legal,1
rocstories,4.0,morality-ethics,care-harm,it's understandable,being worried for a child's safety.,0.0,legal,1
rocstories,4.0,description,care-harm,it's understandable,being worried for your safety.,0.0,legal,1
rocstories,4.0,description,care-harm,It's okay,being worried when someone bandages an injury with cloth.,0.0,legal,1
confessions,4.0,advice,care-harm,should,believing in your smarts.,0.0,legal,1
confessions,4.0,advice,care-harm|sanctity-degradation,you shouldn't,binge eating,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It's wrong,blackmailing family members.,-2.0,tolerated,0
dearabby,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,shouldn't,blaming others for your child's death.,-1.0,legal,0
amitheasshole,4.0,social-norms,care-harm,It is rude,blasting music in your apartment when your neighbors can hear it,-2.0,tolerated,0
amitheasshole,4.0,description,care-harm,appropriate,blocking anyone you want to for your privacy on social media.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,should not,blocking others when parking,-2.0,tolerated,0
rocstories,4.0,morality-ethics,care-harm|sanctity-degradation,it is rude,blurting things without thinking about those around you.,-1.0,legal,0
confessions,4.0,advice|description,care-harm|loyalty-betrayal,it's nice,bonding with others over shared interests and then becoming friends.,1.0,legal,2
confessions,4.0,advice,care-harm,It's bad,bottling up your emotions.,-1.0,legal,0
rocstories,4.0,description,care-harm,it's dangerous,breaking glass with your hand.,-1.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,shouldn't,breaking into a house that's not yours.,-1.0,illegal,0
dearabby,4.0,social-norms,care-harm,should,breaking off the relationship when you no longer want to marry someone,0.0,legal,1
dearabby,4.0,morality-ethics,care-harm|loyalty-betrayal,It's wrong,breaking sacred bonds you have made.,-1.0,tolerated,0
amitheasshole,4.0,morality-ethics,care-harm,it's wrong,breaking someone else's things.,-2.0,tolerated,0
confessions,4.0,morality-ethics|advice,care-harm|loyalty-betrayal,You shouldn't,breaking someone's heart.,-1.0,legal,0
rocstories,4.0,morality-ethics|social-norms,care-harm,It's rude,breaking someone's vase without telling them.,-1.0,tolerated,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It is bad,breaking the belongings of others.,-1.0,illegal,0
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,bad,breaking up a family,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm|loyalty-betrayal,should,breaking up with someone before you cheat on them.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm|authority-subversion,it's ok,breaking up with someone for dragging your mood down.,0.0,legal,1
amitheasshole,4.0,morality-ethics|advice,care-harm|fairness-cheating,okay,breaking up with someone if you are not comfortable with them,0.0,legal,1
confessions,4.0,morality-ethics|description,care-harm|fairness-cheating,you should,breaking up with someone if you think you will cheat on them.,2.0,legal,2
amitheasshole,4.0,advice,care-harm,okay,breaking up with someone when the relationship isn't working for you.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It is hurtful,breaking up with someone.,-1.0,legal,0
rocstories,4.0,advice,care-harm,shouldn't,breaking your appliances,-1.0,legal,0
rocstories,4.0,social-norms|advice,care-harm|authority-subversion|sanctity-degradation,You should,bringing a bag to clean up your dog's poop when you walk it.,1.0,legal,2
rocstories,4.0,advice,care-harm,should,bringing a flashlight when you can't see where you are going,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,It is nice,bringing refreshments to a get together.,1.0,legal,2
dearabby,4.0,morality-ethics,care-harm|fairness-cheating,it's wrong,bringing unwanted children into the world.,-2.0,legal,0
rocstories,4.0,social-norms,care-harm|sanctity-degradation,it's good,brushing your teeth in the morning.,0.0,legal,1
rocstories,4.0,advice,care-harm,It's expected,brushing your teeth well to keep them healthy,0.0,legal,1
rocstories,4.0,morality-ethics|social-norms|advice,care-harm,It's good,brushingt your teeth every day.,1.0,legal,2
dearabby,4.0,advice,care-harm,It's powerful,building your confidence through fitness.,0.0,legal,1
rocstories,4.0,morality-ethics,care-harm,it's wrong,bullying,-2.0,tolerated,0
confessions,4.0,morality-ethics,care-harm,It's mean,bullying children on the internet.,-2.0,legal,0
confessions,4.0,morality-ethics,care-harm,You shouldn't,bullying kids.,-1.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,it is wrong,bullying other people.,-1.0,legal,0
confessions,4.0,morality-ethics|social-norms,care-harm,You shouldn't,bullying others.,-2.0,tolerated,0
amitheasshole,4.0,morality-ethics,care-harm,it's wrong,bullying people.,-2.0,tolerated,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,it's rude,bullying someone,-2.0,tolerated,0
amitheasshole,4.0,morality-ethics,care-harm,is wrong,bullying someone on the internet.,-2.0,tolerated,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,it's bad,bullying someone.,-1.0,tolerated,0
rocstories,4.0,morality-ethics|social-norms,care-harm,It's rude,bumping into people.,-1.0,legal,0
dearabby,4.0,advice,care-harm|loyalty-betrayal,It's wrong,burdening someone with a secret.,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm|loyalty-betrayal,You shouldn't,burning bridges in an extreme way,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm,it's wrong,burning down your school if no one will go to the prom with you.,-2.0,illegal,0
confessions,4.0,advice,care-harm,shouldn't,burning yourself when you make mistakes.,-1.0,legal,0
rocstories,4.0,advice,care-harm|sanctity-degradation,shouldn't,burning yourself.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,it's good,buying a gift for a friend.,1.0,legal,2
rocstories,4.0,social-norms,care-harm,wrong,buying more than you need.,-1.0,legal,0
rocstories,4.0,advice,care-harm,It's good,buying new things.,1.0,legal,2
rocstories,4.0,advice,care-harm,you should,buying some food when you're hungry.,0.0,legal,1
rocstories,4.0,social-norms|advice,care-harm,Is kind,buying something for someone,1.0,legal,2
amitheasshole,4.0,advice,care-harm,It's kind,buying things for family if you can.,1.0,legal,2
rocstories,4.0,morality-ethics|social-norms,care-harm|fairness-cheating|authority-subversion,It's selfish,buying things for yourself and not your children.,-1.0,legal,0
rocstories,4.0,morality-ethics,care-harm,It's good,calling 911 when someone is in need of emergency medical treatment.,0.0,legal,1
rocstories,4.0,social-norms|advice,care-harm,its good,calling 911 when someone is seriously injured.,0.0,legal,1
confessions,4.0,social-norms|advice,care-harm,You should,calling 911 when you witness a car crash.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,its bad,calling a student an insulting name.,-2.0,tolerated,0
confessions,4.0,social-norms|description,care-harm|sanctity-degradation,You should,calling an ambulance when someone dies in your house.,2.0,legal,2
confessions,4.0,morality-ethics,care-harm|fairness-cheating,wrong,calling anybody subhuman,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm,It is good,calling for help if someone is no longer wanting to live,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,It's good,calling for help if someone is suicidal.,2.0,legal,2
rocstories,4.0,advice,care-harm|authority-subversion,It's okay,calling for tech support when you can't figure out what's wrong with your electronics.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,it's good,calling in professional help or the authorities when you know someone is suicidal.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,it's okay,calling off of work if you aren't feeling well,0.0,legal,1
confessions,4.0,social-norms|advice,care-harm,It's okay,calling off sick.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm,it's wrong,calling one's family rude names.,-1.0,legal,0
confessions,4.0,social-norms,care-harm,it's rude,calling other people dumb,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm,It's rude,calling other people subhuman.,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,It is wrong,calling others names.,-1.0,legal,0
confessions,4.0,description,care-harm,expected,calling out for help if someone is abusing you,0.0,legal,1
rocstories,4.0,social-norms,care-harm|authority-subversion,It's expected,calling out for help when you get lost.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,shouldn't,calling out friends.,-1.0,legal,0
